sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
9,Weighted Balanced Acceptance,1089.3702622271524,1030.0364476138166,1163.7021001737978,0.021313360988903105,0.2472,samplers,1030.0364476138166,1163.7021001737978
9,Balanced Acceptance,1814.2112373894627,1715.3981185067942,1938.0017064104559,0.02106192717166898,0.2472,samplers,1715.3981185067942,1938.0017064104559
9,Balanced Mask,496.347585905388,463.7147770803097,522.8432258974145,0.01892967779851052,0.2472,samplers,463.7147770803097,522.8432258974145
10,Uncertainty Sampling,597.8232018693335,557.4027565961761,638.6149316447053,0.010220830125329986,0.2727,samplers,557.4027565961761,638.6149316447053
10,Weighted Balanced Acceptance,1238.1428922957057,1145.2291966353105,1312.0862006368452,0.0094544738184279,0.2727,samplers,1145.2291966353105,1312.0862006368452
10,Balanced Acceptance,2107.844359731826,1965.3272956224707,2242.680933271311,0.009447673608559505,0.2727,samplers,1965.3272956224707,2242.680933271311
10,Balanced Mask,559.6370566733591,536.6168077118871,594.2466454026057,0.010304312872830915,0.2727,samplers,536.6168077118871,594.2466454026057
11,Uncertainty Sampling,1934.1291895537704,1814.2112373894627,2061.9736251147856,0.017131546025011213,0.5066,samplers,1814.2112373894627,2061.9736251147856
11,Weighted Balanced Acceptance,2488.5056667009835,2334.2158162029873,2658.3057855038987,0.018016598483248228,0.5066,samplers,2334.2158162029873,2658.3057855038987
11,Balanced Acceptance,3461.5463104498976,3214.6162848079753,3682.9777655259677,0.01206916832428491,0.5066,samplers,3214.6162848079753,3682.9777655259677
11,Balanced Mask,1876.961401852456,1736.108983651621,2013.0705522389674,0.016117460447031506,0.5066,samplers,1736.108983651621,2013.0705522389674
12,Uncertainty Sampling,5342.847786158859,4882.9512587737045,5753.257435071578,0.008928372597905696,0.7928,samplers,4882.9512587737045,5753.257435071578
12,Weighted Balanced Acceptance,5429.029584583587,4941.905587764828,5881.244593478127,0.009668468335799919,0.7928,samplers,4941.905587764828,5881.244593478127
12,Balanced Acceptance,6631.164343967609,5952.251820514902,7197.894891493108,0.009284453419361252,0.7928,samplers,5952.251820514902,7197.894891493108
12,Balanced Mask,5237.041836531193,4824.700223855085,5707.4104234778115,0.010777382072897796,0.7928,samplers,4824.700223855085,5707.4104234778115
13,Uncertainty Sampling,2207.0800449153153,2082.698887476473,2357.677433078382,0.013603408876913916,0.4207,samplers,2082.698887476473,2357.677433078382
13,Weighted Balanced Acceptance,3214.6162848079753,2985.30105674349,3406.596842645898,0.012266822820681046,0.4207,samplers,2985.30105674349,3406.596842645898
13,Balanced Acceptance,4710.274576612373,4435.942921297884,5082.24861097484,0.011285296815701005,0.4207,samplers,4435.942921297884,5082.24861097484
13,Balanced Mask,2141.8445455862143,2037.3753665468707,2297.1618798009767,0.014418002801585625,0.4207,samplers,2037.3753665468707,2297.1618798009767
14,Uncertainty Sampling,376.6245703159274,356.1112763434389,399.1170200202449,0.018334830362039013,0.5388,samplers,356.1112763434389,399.1170200202449
14,Weighted Balanced Acceptance,474.0305916078929,450.00858409523494,507.3893509956704,0.017756584972806296,0.5388,samplers,450.00858409523494,507.3893509956704
14,Balanced Acceptance,668.6804296107084,634.7943332531075,711.4552092121255,0.015088073685817143,0.5388,samplers,634.7943332531075,711.4552092121255
14,Balanced Mask,369.90531089624403,345.58556071182517,396.72924959836973,0.016040576090525855,0.5388,samplers,345.58556071182517,396.72924959836973
15,Uncertainty Sampling,1069.9350952919392,995.6004936155866,1142.9407985631824,0.014969009584134028,0.3835,samplers,995.6004936155866,1142.9407985631824
15,Weighted Balanced Acceptance,1718.8326916292704,1621.966970732057,1839.791395989295,0.010265381608905094,0.3835,samplers,1621.966970732057,1839.791395989295
15,Balanced Acceptance,2885.4971225244253,2658.3057855038987,3063.9446850994104,0.011372550528612536,0.3835,samplers,2658.3057855038987,3063.9446850994104
15,Balanced Mask,1013.6853866893298,948.9359135372033,1078.5297683711078,0.0192015282292318,0.3835,samplers,948.9359135372033,1078.5297683711078
16,Uncertainty Sampling,387.3201673633838,362.57996975643346,417.0720787534519,0.02370165367109029,0.1926,samplers,362.57996975643346,417.0720787534519
16,Weighted Balanced Acceptance,928.2852486731317,875.971244960684,989.644181828787,0.018810683268643696,0.1926,samplers,875.971244960684,989.644181828787
16,Balanced Acceptance,1638.2696482255908,1527.501801725633,1757.0699014987401,0.014233105659487832,0.1926,samplers,1527.501801725633,1757.0699014987401
16,Balanced Mask,363.3059280080125,336.7152627152703,388.09566048201725,0.018279108992803998,0.1926,samplers,336.7152627152703,388.09566048201725
17,Uncertainty Sampling,766.1054808119056,721.486641447388,815.1124378604982,0.011953713673898117,0.2978,samplers,721.486641447388,815.1124378604982
17,Weighted Balanced Acceptance,1444.3046447371228,1338.5947775749478,1533.6246587676965,0.01088374351096733,0.2978,samplers,1338.5947775749478,1533.6246587676965
17,Balanced Acceptance,2357.677433078382,2211.499064453483,2543.8650474611945,0.009461889176462235,0.2978,samplers,2211.499064453483,2543.8650474611945
17,Balanced Mask,721.486641447388,686.2958908977346,767.6393785496907,0.008233742410073028,0.2978,samplers,686.2958908977346,767.6393785496907
