sim,variable,offset,eff,eff_low,eff_upp,deg,pmax,occ,set
1,Under-0.40,-0.4,1315.7025001761017,1433.8732433489074,1207.2706405530027,57,0.9298245614035088,0.4021,ranges
1,Under-0.45,-0.45,1334.2537459908558,1468.7060054874169,1239.0745162010544,57,0.9298245614035088,0.4021,ranges
1,Under-0.50,-0.5,1378.2820392698202,1493.0870545929063,1274.85191119029,57,0.8947368421052632,0.4021,ranges
2,Over-0.50,0.5,574.379921082227,612.3459872607124,538.767789135463,61,1.0,0.4005,ranges
2,Over-0.45,0.45,555.177376758951,589.5111658679606,523.8900635216153,61,1.0,0.4005,ranges
2,Over-0.40,0.4,534.4744138861184,565.2620679177348,502.3402402086314,61,1.0,0.4005,ranges
2,Over-0.35,0.35,511.46515485970764,548.5544032648982,482.64126689168916,61,1.0,0.4005,ranges
2,Over-0.30,0.3,497.34137391271116,529.1557754021744,465.5735371060913,61,1.0,0.4005,ranges
2,Over-0.25,0.25,481.67685265222485,509.42317672164006,451.8124040481835,61,1.0,0.4005,ranges
2,Over-0.20,0.2,460.01949019267596,490.4264208095058,433.2274409885616,61,1.0,0.4005,ranges
2,Over-0.15,0.15,438.458014002808,460.01949019267596,412.09662867510116,61,1.0,0.4005,ranges
2,Over-0.10,0.1,417.9071412012694,447.31634815240864,394.3557643292239,61,1.0,0.4005,ranges
2,Over-0.05,0.05,398.31950401047806,421.26414413712934,376.6245703159274,61,1.0,0.4005,ranges
2,True-0.00,0.0,386.5462238358391,409.6312060257371,359.69061389765363,61,1.0,0.4005,ranges
2,Under-0.05,-0.05,385.77382680298797,407.9957906715782,362.57996975643346,61,1.0,0.4005,ranges
2,Under-0.10,-0.1,385.0029731746248,407.9957906715782,359.69061389765363,61,1.0,0.4005,ranges
2,Under-0.15,-0.15,386.5462238358391,411.27317679895117,362.57996975643346,61,1.0,0.4005,ranges
2,Under-0.20,-0.2,388.872706294334,409.6312060257371,365.4925354988075,61,1.0,0.4005,ranges
2,Under-0.25,-0.25,385.0029731746248,406.3669045645607,356.82428296571766,61,1.0,0.4005,ranges
2,Under-0.30,-0.3,380.4100906235506,401.51916157203567,349.7579891799943,61,1.0,0.4005,ranges
2,Under-0.35,-0.35,372.328064049536,395.35391806590616,347.8490278270133,61,0.9836065573770492,0.4005,ranges
2,Under-0.40,-0.4,379.0913323181534,406.58140169826436,357.72744078309364,61,0.9836065573770492,0.4005,ranges
2,Under-0.45,-0.45,373.8205084488488,392.2033905830377,347.1539555681055,61,0.9836065573770492,0.4005,ranges
2,Under-0.50,-0.5,382.1365320529388,402.53544658096496,358.443683292649,61,0.9836065573770492,0.4005,ranges
3,Over-0.50,0.5,1458.8216067039468,1552.1408814146978,1371.1129612452237,55,1.0,0.3808,ranges
3,Over-0.45,0.45,1407.2330362757077,1500.2500457894248,1330.5864570663211,55,1.0,0.3808,ranges
3,Over-0.40,0.4,1384.8942606290798,1479.3908145774708,1278.4083016735763,55,1.0,0.3808,ranges
3,Over-0.35,0.35,1314.7132619297665,1410.0506007298793,1233.1997193466814,55,1.0,0.3808,ranges
3,Over-0.30,0.3,1280.9679330181082,1357.4688017269248,1216.053512187041,55,1.0,0.3808,ranges
3,Over-0.25,0.25,1230.7355384922325,1312.0862006368452,1154.4286990996286,55,1.0,0.3808,ranges
3,Over-0.20,0.2,1184.8405268683293,1248.0887604435989,1085.0210504800893,55,1.0,0.3808,ranges
3,Over-0.15,0.15,1127.0495366727275,1191.9716551316433,1048.7468632238995,55,1.0,0.3808,ranges
3,Over-0.10,0.1,1065.663476682189,1140.6569731702596,1003.598044866814,55,1.0,0.3808,ranges
3,Over-0.05,0.05,1044.559836704651,1093.7369074081662,977.8382483394576,55,1.0,0.3808,ranges
3,True-0.00,0.0,979.7960777958643,1034.1652584012945,917.2112949166321,55,1.0,0.3808,ranges
