sim,set,sp,type,sampler,layer,offset,nbon,low,med,upp,deg,confint_low,confint_upp,pmax
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,210,0.21052631578947367,0.2894736842105263,0.39561403508771925,57,0.2807017543859649,0.3157894736842105,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,225,0.22807017543859648,0.3157894736842105,0.42105263157894735,57,0.2982456140350877,0.3333333333333333,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,240,0.23596491228070174,0.3333333333333333,0.39561403508771925,57,0.3157894736842105,0.3333333333333333,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,255,0.24561403508771928,0.34210526315789475,0.40350877192982454,57,0.3333333333333333,0.3508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,270,0.2631578947368421,0.3508771929824561,0.43859649122807015,57,0.3333333333333333,0.3684210526315789,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,285,0.2710526315789474,0.3684210526315789,0.43859649122807015,57,0.3508771929824561,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,300,0.2807017543859649,0.38596491228070173,0.4833333333333333,57,0.3684210526315789,0.40350877192982454,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,315,0.2807017543859649,0.3684210526315789,0.47368421052631576,57,0.3684210526315789,0.38596491228070173,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,330,0.2982456140350877,0.40350877192982454,0.5008771929824561,57,0.3684210526315789,0.42105263157894735,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,345,0.33157894736842103,0.41228070175438597,0.49122807017543857,57,0.40350877192982454,0.42105263157894735,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,360,0.32368421052631585,0.42105263157894735,0.5087719298245614,57,0.40350877192982454,0.43859649122807015,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,375,0.3412280701754386,0.4298245614035088,0.5263157894736842,57,0.42105263157894735,0.45614035087719296,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,390,0.3412280701754386,0.45614035087719296,0.5359649122807018,57,0.43859649122807015,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,405,0.3333333333333333,0.43859649122807015,0.5087719298245614,57,0.42105263157894735,0.45614035087719296,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,420,0.37631578947368427,0.45614035087719296,0.5456140350877192,57,0.45614035087719296,0.47368421052631576,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,435,0.38596491228070173,0.47368421052631576,0.5789473684210527,57,0.45614035087719296,0.49122807017543857,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.50,0.5,450,0.3938596491228071,0.49122807017543857,0.563157894736842,57,0.47368421052631576,0.49122807017543857,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,1,0.0,0.0,0.017543859649122806,57,0.0,0.0,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,14,0.0,0.03508771929824561,0.07982456140350873,57,0.017543859649122806,0.03508771929824561,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,29,0.017543859649122806,0.05263157894736842,0.10526315789473684,57,0.03508771929824561,0.07017543859649122,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,44,0.025438596491228073,0.07017543859649122,0.13245614035087713,57,0.07017543859649122,0.08771929824561403,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,58,0.060526315789473685,0.10526315789473684,0.15789473684210525,57,0.10526315789473684,0.10526315789473684,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,72,0.05263157894736842,0.12280701754385964,0.21052631578947367,57,0.10526315789473684,0.14035087719298245,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,87,0.07017543859649122,0.14035087719298245,0.22807017543859648,57,0.14035087719298245,0.14035087719298245,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,102,0.11315789473684211,0.19298245614035087,0.2807017543859649,57,0.17543859649122806,0.21052631578947367,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,116,0.11315789473684211,0.19298245614035087,0.2903508771929824,57,0.17543859649122806,0.19298245614035087,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,130,0.14035087719298245,0.22807017543859648,0.2903508771929824,57,0.21052631578947367,0.24561403508771928,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,145,0.15789473684210525,0.22807017543859648,0.3157894736842105,57,0.21052631578947367,0.24561403508771928,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,160,0.14035087719298245,0.24561403508771928,0.3333333333333333,57,0.22807017543859648,0.2631578947368421,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,174,0.17543859649122806,0.2543859649122807,0.34298245614035083,57,0.24561403508771928,0.2631578947368421,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,188,0.17543859649122806,0.2807017543859649,0.37807017543859645,57,0.2807017543859649,0.3157894736842105,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,203,0.19298245614035087,0.3157894736842105,0.38596491228070173,57,0.2807017543859649,0.3333333333333333,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,218,0.23596491228070174,0.2982456140350877,0.38596491228070173,57,0.2807017543859649,0.3157894736842105,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,232,0.2631578947368421,0.3157894736842105,0.37807017543859645,57,0.2982456140350877,0.3333333333333333,1.0
1,ranges,node_55,realized,Balanced Acceptance,Over-0.45,0.45,246,0.24561403508771928,0.3157894736842105,0.42105263157894735,57,0.2982456140350877,0.3333333333333333,1.0
