sim,sp,type,sampler,nbon,low,med,upp,deg
1,node_55,realized,BalancedAcceptance,151,0.08771929824561403,0.14035087719298245,0.22982456140350868,57
1,node_55,realized,BalancedAcceptance,156,0.08771929824561403,0.14912280701754385,0.2201754385964912,57
1,node_55,realized,BalancedAcceptance,161,0.10526315789473684,0.15789473684210525,0.237719298245614,57
1,node_55,realized,BalancedAcceptance,166,0.10526315789473684,0.17543859649122806,0.2552631578947368,57
1,node_55,realized,BalancedAcceptance,171,0.10526315789473684,0.17543859649122806,0.24561403508771928,57
1,node_55,realized,BalancedAcceptance,176,0.10526315789473684,0.15789473684210525,0.22807017543859648,57
1,node_55,realized,BalancedAcceptance,181,0.0956140350877193,0.17543859649122806,0.2728070175438596,57
1,node_55,realized,BalancedAcceptance,186,0.10526315789473684,0.16666666666666666,0.2552631578947368,57
1,node_55,realized,BalancedAcceptance,191,0.11315789473684211,0.19298245614035087,0.2807017543859649,57
1,node_55,realized,BalancedAcceptance,196,0.14035087719298245,0.21052631578947367,0.2631578947368421,57
1,node_55,realized,BalancedAcceptance,201,0.10526315789473684,0.17543859649122806,0.2631578947368421,57
1,node_55,realized,BalancedAcceptance,206,0.10526315789473684,0.19298245614035087,0.2903508771929824,57
1,node_55,realized,BalancedAcceptance,211,0.10526315789473684,0.21052631578947367,0.3078947368421052,57
1,node_55,realized,BalancedAcceptance,216,0.1307017543859649,0.20175438596491227,0.2903508771929824,57
1,node_55,realized,BalancedAcceptance,221,0.11315789473684211,0.21052631578947367,0.2631578947368421,57
1,node_55,realized,BalancedAcceptance,226,0.12280701754385964,0.21052631578947367,0.2982456140350877,57
1,node_55,realized,BalancedAcceptance,231,0.1482456140350877,0.22807017543859648,0.2999999999999999,57
1,node_55,realized,BalancedAcceptance,236,0.1482456140350877,0.22807017543859648,0.2982456140350877,57
1,node_55,realized,BalancedAcceptance,241,0.12280701754385964,0.22807017543859648,0.3175438596491227,57
1,node_55,realized,BalancedAcceptance,246,0.1482456140350877,0.22807017543859648,0.3157894736842105,57
1,node_55,realized,BalancedAcceptance,251,0.15789473684210525,0.22807017543859648,0.3333333333333333,57
1,node_55,realized,BalancedAcceptance,256,0.1307017543859649,0.24561403508771928,0.3508771929824561,57
1,node_55,realized,BalancedAcceptance,261,0.1482456140350877,0.24561403508771928,0.2982456140350877,57
1,node_55,realized,BalancedAcceptance,266,0.17543859649122806,0.24561403508771928,0.36052631578947364,57
1,node_55,realized,BalancedAcceptance,271,0.19298245614035087,0.24561403508771928,0.325438596491228,57
1,node_55,realized,BalancedAcceptance,276,0.14035087719298245,0.24561403508771928,0.3157894736842105,57
1,node_55,realized,BalancedAcceptance,281,0.15789473684210525,0.24561403508771928,0.3508771929824561,57
1,node_55,realized,BalancedAcceptance,286,0.18333333333333332,0.2631578947368421,0.3333333333333333,57
1,node_55,realized,BalancedAcceptance,291,0.1482456140350877,0.2543859649122807,0.3526315789473683,57
1,node_55,realized,BalancedAcceptance,296,0.17543859649122806,0.24561403508771928,0.3333333333333333,57
1,node_55,realized,BalancedAcceptance,301,0.15789473684210525,0.2631578947368421,0.3157894736842105,57
