sim,set,variable,offset,eff,eff_low,eff_upp,occ
6,ranges,Over-0.40,0.4,9460.547959106008,9433.995941418343,9483.539002913158,0.6245
6,ranges,Over-0.35,0.35,9460.547959106008,9431.363620156866,9487.548090356346,0.6245
6,ranges,Over-0.30,0.3,9458.870159374499,9432.24230783045,9484.343130881323,0.6245
6,ranges,Over-0.25,0.25,9468.865268830172,9438.35826857533,9496.267049732218,0.6245
6,ranges,Over-0.20,0.2,9459.70965933361,9429.602495523823,9489.143658677705,0.6245
6,ranges,Over-0.15,0.15,9463.889185660628,9436.617059947897,9491.52840400167,0.6245
6,ranges,Over-0.10,0.1,9463.055671971912,9438.35826857533,9489.143658677705,0.6245
6,ranges,Over-0.05,0.05,9458.870159374499,9431.363620156866,9485.146102178067,0.6245
6,ranges,True-0.00,0.0,9462.220963959424,9437.48828363478,9487.548090356346,0.6245
6,ranges,Under-0.05,-0.05,9443.552248319556,9413.525511816346,9473.798723969947,0.6245
6,ranges,Under-0.10,-0.1,9405.332102660655,9376.30141544452,9438.35826857533,0.6245
6,ranges,Under-0.15,-0.15,9395.175548022726,9353.931943678212,9419.826448282407,0.6245
6,ranges,Under-0.20,-0.2,9347.97732500556,9315.367214311607,9378.2127708136,0.6245
6,ranges,Under-0.25,-0.25,9302.761292671377,9270.321079690428,9334.90381921028,0.6245
6,ranges,Under-0.30,-0.3,9255.84460702817,9223.781186699816,9303.819771508422,0.6245
6,ranges,Under-0.35,-0.35,9209.66321816625,9170.88206929087,9243.3934103588,0.6245
6,ranges,Under-0.40,-0.4,9149.594568696115,9102.899227066579,9175.821138832984,0.6245
6,ranges,Under-0.45,-0.45,9088.183714807306,9038.51823048183,9127.820737589449,0.6245
6,ranges,Under-0.50,-0.5,9002.639010919436,8941.250564771944,9055.332628694016,0.6245
7,ranges,Over-0.20,0.2,9636.71917198912,9617.103488138411,9653.729722371108,0.859
7,ranges,Over-0.15,0.15,9626.7348957049,9609.727739382688,9646.45245470441,0.859
7,ranges,Over-0.10,0.1,9629.107021270567,9606.61544529263,9646.45245470441,0.859
7,ranges,Over-0.05,0.05,9623.749740748384,9607.239755461955,9645.88675468106,0.859
7,ranges,True-0.00,0.0,9624.348555659324,9610.347427273775,9643.04548150129,0.859
7,ranges,Under-0.05,-0.05,9605.990207003348,9587.449022737674,9626.139646260312,0.859
7,ranges,Under-0.10,-0.1,9595.217962652758,9577.542099002472,9612.816982990327,0.859
7,ranges,Under-0.15,-0.15,9572.168112121331,9553.557028717692,9593.28864166914,0.859
7,ranges,Under-0.20,-0.2,9556.360979030622,9537.111906055214,9572.843328410912,0.859
7,ranges,Under-0.25,-0.25,9532.730258509178,9516.332792452396,9551.44325627491,0.859
7,ranges,Under-0.30,-0.3,9507.93551825946,9483.539002913158,9529.787802616926,0.859
7,ranges,Under-0.35,-0.35,9481.927271227643,9461.385060159173,9507.165472236871,0.859
7,ranges,Under-0.40,-0.4,9452.110776499308,9421.615272623249,9478.689864649123,0.859
7,ranges,Under-0.45,-0.45,9417.133690980694,9391.443052101962,9443.552248319556,0.859
7,ranges,Under-0.50,-0.5,9375.343726142772,9342.976998222744,9396.105392159765,0.859
8,ranges,Over-0.50,0.5,6799.010617161717,6559.952208717872,6965.627364712565,0.4049
8,ranges,Over-0.45,0.45,6777.356430787031,6563.70310769276,6962.138648865159,0.4049
8,ranges,Over-0.40,0.4,6777.356430787031,6567.45177834171,6979.557431098567,0.4049
8,ranges,Over-0.35,0.35,6759.245978683617,6522.321281896562,6905.983621954903,0.4049
8,ranges,Over-0.30,0.3,6813.399033344247,6578.684392487574,6983.033739950675,0.4049
8,ranges,Over-0.25,0.25,6802.611306892839,6582.424122037435,6983.033739950675,0.4049
8,ranges,Over-0.20,0.2,6730.146526287099,6559.952208717872,6972.597360717591,0.4049
