ns,nsites,C_exp,ra_sigma,ra_scaling,energy_NFL,H_nlm,nbon,prop_observed_sp,prop_detected_int,prop_realized_int,prop_possible_int
100,100,0.2,0.6,50.0,100000,0.25,25,0.99,0.0261,0.117,0.895
100,100,0.3,0.6,50.0,100000,0.25,25,0.98,0.0178,0.0803,0.885
100,100,0.1,1.2,50.0,100000,0.25,25,1.0,0.0284,0.113,0.954
100,100,0.2,1.2,50.0,100000,0.25,25,0.98,0.0318,0.101,0.9
100,100,0.3,1.2,50.0,100000,0.25,25,0.99,0.0231,0.0764,0.927
100,100,0.1,1.8,50.0,100000,0.25,25,0.98,0.0574,0.121,0.899
100,100,0.2,1.8,50.0,100000,0.25,25,0.98,0.0396,0.0941,0.913
100,100,0.3,1.8,50.0,100000,0.25,25,1.0,0.0277,0.0773,0.913
100,100,0.1,0.6,75.0,100000,0.25,25,0.97,0.0637,0.178,0.8
100,100,0.2,0.6,75.0,100000,0.25,25,0.99,0.0405,0.12,0.912
100,100,0.3,0.6,75.0,100000,0.25,25,0.99,0.0276,0.0746,0.893
100,100,0.1,1.2,75.0,100000,0.25,25,0.98,0.053,0.158,0.89
100,100,0.2,1.2,75.0,100000,0.25,25,1.0,0.0457,0.0957,0.891
100,100,0.3,1.2,75.0,100000,0.25,25,0.99,0.0314,0.0728,0.876
100,100,0.1,1.8,75.0,100000,0.25,25,0.99,0.0748,0.157,0.924
100,100,0.2,1.8,75.0,100000,0.25,25,0.99,0.0394,0.0703,0.917
100,100,0.3,1.8,75.0,100000,0.25,25,0.99,0.0412,0.0768,0.854
100,100,0.1,0.6,25.0,1000,0.5,25,0.96,0.00232,0.00696,0.818
100,100,0.2,0.6,25.0,1000,0.5,25,0.99,0.0,0.00162,0.909
100,100,0.3,0.6,25.0,1000,0.5,25,0.96,0.0,0.00902,0.859
100,100,0.1,1.2,25.0,1000,0.5,25,1.0,0.00332,0.00997,0.956
100,100,0.2,1.2,25.0,1000,0.5,25,0.99,0.00222,0.00222,0.91
100,100,0.3,1.2,25.0,1000,0.5,25,0.99,0.00449,0.00449,0.925
100,100,0.1,1.8,25.0,1000,0.5,25,0.99,0.014,0.021,0.913
100,100,0.2,1.8,25.0,1000,0.5,25,0.98,0.0,0.0,0.918
100,100,0.3,1.8,25.0,1000,0.5,25,0.98,0.00287,0.00287,0.856
100,100,0.1,0.6,50.0,1000,0.5,25,0.99,0.00418,0.00837,0.907
100,100,0.2,0.6,50.0,1000,0.5,25,1.0,0.00162,0.00972,0.93
100,100,0.3,0.6,50.0,1000,0.5,25,1.0,0.0,0.0014,0.953
100,100,0.1,1.2,50.0,1000,0.5,25,0.98,0.00287,0.0086,0.868
100,100,0.2,1.2,50.0,1000,0.5,25,0.98,0.0,0.00192,0.914
100,100,0.3,1.2,50.0,1000,0.5,25,1.0,0.00394,0.00394,0.934
100,100,0.1,1.8,50.0,1000,0.5,25,0.99,0.0,0.00704,0.894
100,100,0.2,1.8,50.0,1000,0.5,25,1.0,0.00306,0.00917,0.924
100,100,0.3,1.8,50.0,1000,0.5,25,0.96,0.00293,0.00293,0.854
100,100,0.1,0.6,75.0,1000,0.5,25,1.0,0.0,0.0,0.898
100,100,0.2,0.6,75.0,1000,0.5,25,0.99,0.0,0.0,0.865
100,100,0.3,0.6,75.0,1000,0.5,25,0.99,0.0,0.0,0.932
100,100,0.1,1.2,75.0,1000,0.5,25,0.99,0.0,0.00301,0.917
100,100,0.2,1.2,75.0,1000,0.5,25,0.99,0.00306,0.00612,0.903
100,100,0.3,1.2,75.0,1000,0.5,25,1.0,0.0,0.00207,0.934
100,100,0.1,1.8,75.0,1000,0.5,25,0.99,0.00671,0.00671,0.865
100,100,0.2,1.8,75.0,1000,0.5,25,1.0,0.0,0.0,0.927
100,100,0.3,1.8,75.0,1000,0.5,25,0.99,0.00465,0.0116,0.905
100,100,0.1,0.6,25.0,10000,0.5,25,0.95,0.00228,0.0342,0.832
100,100,0.2,0.6,25.0,10000,0.5,25,0.99,0.00442,0.0162,0.908
100,100,0.3,0.6,25.0,10000,0.5,25,1.0,0.000463,0.00786,0.924
100,100,0.1,1.2,25.0,10000,0.5,25,0.97,0.00834,0.0348,0.87
100,100,0.2,1.2,25.0,10000,0.5,25,1.0,0.00308,0.0131,0.901
100,100,0.3,1.2,25.0,10000,0.5,25,0.97,0.00334,0.0147,0.9
100,100,0.1,1.8,25.0,10000,0.5,25,1.0,0.015,0.0475,0.933
100,100,0.2,1.8,25.0,10000,0.5,25,0.99,0.0104,0.034,0.901
100,100,0.3,1.8,25.0,10000,0.5,25,1.0,0.00451,0.0226,0.97
100,100,0.1,0.6,50.0,10000,0.5,25,0.99,0.00913,0.0285,0.896
100,100,0.2,0.6,50.0,10000,0.5,25,0.99,0.00403,0.0141,0.927
100,100,0.3,0.6,50.0,10000,0.5,25,0.99,0.00106,0.0143,0.87
100,100,0.1,1.2,50.0,10000,0.5,25,1.0,0.00581,0.0232,0.962
