nbon,nrep,refmethod,βos_low_realized,βos_upp_possible,βos_detected,βos_upp_realized,βos_possible,βos_realized,βos_med_realized,βos_upp_detected,βos_med_possible,βos_low_possible,βos_med_detected,βos_low_detected
1,1,metawebify,0.9945945945945946,0.5985559566787003,0.9945945945945946,0.9945945945945946,0.5985559566787003,0.9945945945945946,0.9945945945945946,0.9945945945945946,0.5985559566787003,0.5985559566787003,0.9945945945945946,0.9945945945945946
1,2,metawebify,0.9866777685262281,0.5822281167108754,0.998324958123953,0.9866777685262281,0.5822281167108754,0.9866777685262281,0.9866777685262281,0.998324958123953,0.5822281167108754,0.5822281167108754,0.998324958123953,0.998324958123953
1,3,metawebify,0.9920870425321464,0.6202735317779565,1.0,0.9920870425321464,0.6202735317779565,0.9920870425321464,0.9920870425321464,1.0,0.6202735317779565,0.6202735317779565,1.0,1.0
1,4,metawebify,0.9856244384546271,0.6214233308877476,0.9927862939585211,0.9856244384546271,0.6214233308877476,0.9856244384546271,0.9856244384546271,0.9927862939585211,0.6214233308877476,0.6214233308877476,0.9927862939585211,0.9927862939585211
1,5,metawebify,0.9886685552407932,0.7191836734693877,0.9962085308056872,0.9886685552407932,0.7191836734693877,0.9886685552407932,0.9886685552407932,0.9962085308056872,0.7191836734693877,0.7191836734693877,0.9962085308056872,0.9962085308056872
1,6,metawebify,0.9884297520661157,0.45906610066707093,0.9950248756218906,0.9884297520661157,0.45906610066707093,0.9884297520661157,0.9884297520661157,0.9950248756218906,0.45906610066707093,0.45906610066707093,0.9950248756218906,0.9950248756218906
1,7,metawebify,0.9983050847457627,0.7012987012987013,1.0,0.9983050847457627,0.7012987012987013,0.9983050847457627,0.9983050847457627,1.0,0.7012987012987013,0.7012987012987013,1.0,1.0
1,8,metawebify,0.9873517786561264,0.5310596833130329,0.9952380952380953,0.9873517786561264,0.5310596833130329,0.9873517786561264,0.9873517786561264,0.9952380952380953,0.5310596833130329,0.5310596833130329,0.9952380952380953,0.9952380952380953
1,9,metawebify,0.9943127962085309,0.4953802416488984,0.9943127962085309,0.9943127962085309,0.4953802416488984,0.9943127962085309,0.9943127962085309,0.9943127962085309,0.4953802416488984,0.4953802416488984,0.9943127962085309,0.9943127962085309
1,10,metawebify,0.9896587383660806,0.5861500412201154,0.9937823834196892,0.9896587383660806,0.5861500412201154,0.9896587383660806,0.9896587383660806,0.9937823834196892,0.5861500412201154,0.5861500412201154,0.9937823834196892,0.9937823834196892
1,11,metawebify,0.9869888475836431,0.6981731532962668,0.9906890130353817,0.9869888475836431,0.6981731532962668,0.9869888475836431,0.9869888475836431,0.9906890130353817,0.6981731532962668,0.6981731532962668,0.9906890130353817,0.9906890130353817
1,12,metawebify,0.9913885898815931,0.5468227424749164,1.0,0.9913885898815931,0.5468227424749164,0.9913885898815931,0.9913885898815931,1.0,0.5468227424749164,0.5468227424749164,1.0,1.0
1,13,metawebify,0.9947183098591549,0.6396526772793053,0.9982363315696648,0.9947183098591549,0.6396526772793053,0.9947183098591549,0.9947183098591549,0.9982363315696648,0.6396526772793053,0.6396526772793053,0.9982363315696648,0.9982363315696648
1,14,metawebify,0.9946996466431095,0.6338639652677279,0.9982300884955753,0.9946996466431095,0.6338639652677279,0.9946996466431095,0.9946996466431095,0.9982300884955753,0.6338639652677279,0.6338639652677279,0.9982300884955753,0.9982300884955753
1,15,metawebify,0.9911111111111112,0.6592592592592592,0.9964349376114082,0.9911111111111112,0.6592592592592592,0.9911111111111112,0.9911111111111112,0.9964349376114082,0.6592592592592592,0.6592592592592592,0.9964349376114082,0.9964349376114082
1,16,metawebify,0.9929701230228472,0.5150300601202404,0.9964788732394366,0.9929701230228472,0.5150300601202404,0.9929701230228472,0.9929701230228472,0.9964788732394366,0.5150300601202404,0.5150300601202404,0.9964788732394366,0.9964788732394366
1,17,metawebify,0.9875130072840791,0.5579119086460033,0.997907949790795,0.9875130072840791,0.5579119086460033,0.9875130072840791,0.9875130072840791,0.997907949790795,0.5579119086460033,0.5579119086460033,0.997907949790795,0.997907949790795
1,18,metawebify,0.9912587412587412,0.7550077041602465,0.9982456140350877,0.9912587412587412,0.7550077041602465,0.9912587412587412,0.9912587412587412,0.9982456140350877,0.7550077041602465,0.7550077041602465,0.9982456140350877,0.9982456140350877
1,19,metawebify,0.9945205479452055,0.3919694072657744,0.9945205479452055,0.9945205479452055,0.3919694072657744,0.9945205479452055,0.9945205479452055,0.9945205479452055,0.3919694072657744,0.3919694072657744,0.9945205479452055,0.9945205479452055
1,20,metawebify,0.9977949283351709,0.6669733210671573,0.9977949283351709,0.9977949283351709,0.6669733210671573,0.9977949283351709,0.9977949283351709,0.9977949283351709,0.6669733210671573,0.6669733210671573,0.9977949283351709,0.9977949283351709
2,1,metawebify,0.9893655157008834,0.6573360869771637,0.9922540666150271,0.9967013613677087,0.3637327677624602,0.9861003861003861,0.993033438534296,0.9968556804109306,0.5578400330145096,0.4583439790518554,0.9961198193987346,0.9953839583865387
2,2,metawebify,0.9906455026455026,0.5939603700822029,0.994291151284491,0.9960482973816308,0.31,0.9867298578199052,0.9933469000135666,0.9980458486540469,0.5255488650586921,0.4571373600351815,0.9971419492487176,0.9962380498433883
2,3,metawebify,0.9792003510264865,0.6521314983842622,0.989440337909187,0.9871330177640677,0.37920937042459735,0.9665970772442589,0.9831666843952771,0.9957099139090665,0.5874454334145927,0.5227593684449232,0.9947067527576002,0.993703591606134
