id,nrep,step,value,eff,log_a,rmse,low,upp,range
1,100,05,Over-0.2,8170.058462036191,6.487148714871488,0.008008840137049894,8091.063096039335,8248.796178427794,157.73308238845948
1,100,05,True-0.0,8876.592334977346,5.783078307830783,0.009302709790051298,8833.840177863542,8924.229227091737,90.38904922819529
1,100,05,Under-0.2,8547.00144851393,6.147114711471147,0.008813967514257441,8495.942418816483,8602.467190464315,106.52477164783159
1,050,05,Over-0.2,8174.90888338136,6.4831483148314835,0.009009186048319408,8060.762087086938,8279.062366831486,218.30027974454788
1,050,05,True-0.0,8874.973433655012,5.785078507850784,0.01073703351257225,8810.24420985865,8942.786252786553,132.542042927902
1,050,05,Under-0.2,8559.038941806557,6.135113511351136,0.011016333966733611,8481.382814320938,8621.842049007895,140.45923468695764
1,030,05,Over-0.2,8167.6294378952725,6.489148914891489,0.011483281991073385,8006.839175773132,8315.735367391775,308.89619161864266
1,030,05,True-0.0,8881.43694232783,5.777077707770777,0.014153675716858853,8782.776278896095,8965.589352813131,182.81307391703558
1,030,05,Under-0.2,8536.906412507962,6.157115711571157,0.011168030806463695,8432.72443919329,8642.893354888784,210.16891569549261
1,020,05,Over-0.2,8179.7491423702595,6.479147914791478,0.015162433561650493,7978.136609486728,8369.560108189356,391.4234987026284
1,020,05,True-0.0,8866.848606756816,5.7950795079507955,0.016726507616568527,8744.122665718709,8971.5970905999,227.47442488119123
1,020,05,Under-0.2,8547.00144851393,6.147114711471147,0.01289252200242566,8421.979048278383,8665.548971497527,243.56992321914367
1,050,10,Over-0.2,8184.5792473294305,6.475147514751477,0.00849585368304041,8068.372164045007,8285.986985323012,217.61482127800537
1,050,10,True-0.0,8876.592334977346,5.783078307830783,0.010410920197447084,8808.543188551943,8935.088343338235,126.54515478629219
1,050,10,Under-0.2,8551.023210741332,6.143114311431144,0.00925176747531269,8477.201635956359,8619.914762314183,142.71312635782488
1,030,10,Over-0.2,8165.197870071569,6.491149114911492,0.011649481872990024,8027.516077016823,8315.735367391775,288.2192903749519
1,030,10,True-0.0,8884.656617559936,5.773077307730773,0.01384015432572833,8784.508809124754,8968.597048462061,184.08823933730673
1,030,10,Under-0.2,8532.852113861478,6.16111611161116,0.011420987342725238,8428.433496074837,8644.793620228913,216.3601241540764
1,020,10,Over-0.2,8174.90888338136,6.4831483148314835,0.012029410360890445,8001.643960374723,8365.128659271346,363.48469889662283
1,020,10,True-0.0,8879.824087562887,5.779077907790779,0.015043230386914594,8760.060359951254,8977.57427091528,217.51391096402585
1,020,10,Under-0.2,8565.02646942,6.129112911291128,0.01811761085658632,8428.433496074837,8687.8844255224,259.4509294475629
