sp,type,sampler,nbon,rep,deg,monitored
node_55,realized,BalancedAcceptance,331,2,57,21
node_55,realized,BalancedAcceptance,336,2,57,13
node_55,realized,BalancedAcceptance,341,2,57,14
node_55,realized,BalancedAcceptance,346,2,57,21
node_55,realized,BalancedAcceptance,351,2,57,21
node_55,realized,BalancedAcceptance,356,2,57,19
node_55,realized,BalancedAcceptance,361,2,57,20
node_55,realized,BalancedAcceptance,366,2,57,13
node_55,realized,BalancedAcceptance,371,2,57,16
node_55,realized,BalancedAcceptance,376,2,57,16
node_55,realized,BalancedAcceptance,381,2,57,15
node_55,realized,BalancedAcceptance,386,2,57,19
node_55,realized,BalancedAcceptance,391,2,57,12
node_55,realized,BalancedAcceptance,396,2,57,18
node_55,realized,BalancedAcceptance,401,2,57,20
node_55,realized,BalancedAcceptance,406,2,57,23
node_55,realized,BalancedAcceptance,411,2,57,17
node_55,realized,BalancedAcceptance,416,2,57,14
node_55,realized,BalancedAcceptance,421,2,57,18
node_55,realized,BalancedAcceptance,426,2,57,19
node_55,realized,BalancedAcceptance,431,2,57,18
node_55,realized,BalancedAcceptance,436,2,57,19
node_55,realized,BalancedAcceptance,441,2,57,25
node_55,realized,BalancedAcceptance,446,2,57,25
node_55,realized,BalancedAcceptance,451,2,57,23
node_55,realized,BalancedAcceptance,456,2,57,20
node_55,realized,BalancedAcceptance,461,2,57,22
node_55,realized,BalancedAcceptance,466,2,57,24
node_55,realized,BalancedAcceptance,471,2,57,22
node_55,realized,BalancedAcceptance,476,2,57,18
node_55,realized,BalancedAcceptance,481,2,57,22
node_55,realized,BalancedAcceptance,486,2,57,28
node_55,realized,BalancedAcceptance,491,2,57,23
node_55,realized,BalancedAcceptance,496,2,57,28
node_55,realized,BalancedAcceptance,1,3,57,0
node_55,realized,BalancedAcceptance,6,3,57,0
node_55,realized,BalancedAcceptance,11,3,57,0
node_55,realized,BalancedAcceptance,16,3,57,0
node_55,realized,BalancedAcceptance,21,3,57,0
node_55,realized,BalancedAcceptance,26,3,57,2
node_55,realized,BalancedAcceptance,31,3,57,2
node_55,realized,BalancedAcceptance,36,3,57,3
node_55,realized,BalancedAcceptance,41,3,57,0
node_55,realized,BalancedAcceptance,46,3,57,0
node_55,realized,BalancedAcceptance,51,3,57,6
node_55,realized,BalancedAcceptance,56,3,57,2
node_55,realized,BalancedAcceptance,61,3,57,9
node_55,realized,BalancedAcceptance,66,3,57,5
node_55,realized,BalancedAcceptance,71,3,57,2
node_55,realized,BalancedAcceptance,76,3,57,3
node_55,realized,BalancedAcceptance,81,3,57,5
node_55,realized,BalancedAcceptance,86,3,57,4
node_55,realized,BalancedAcceptance,91,3,57,5
node_55,realized,BalancedAcceptance,96,3,57,3
node_55,realized,BalancedAcceptance,101,3,57,6
node_55,realized,BalancedAcceptance,106,3,57,9
node_55,realized,BalancedAcceptance,111,3,57,12
node_55,realized,BalancedAcceptance,116,3,57,8
node_55,realized,BalancedAcceptance,121,3,57,9
node_55,realized,BalancedAcceptance,126,3,57,10
node_55,realized,BalancedAcceptance,131,3,57,6
node_55,realized,BalancedAcceptance,136,3,57,7
node_55,realized,BalancedAcceptance,141,3,57,10
node_55,realized,BalancedAcceptance,146,3,57,7
node_55,realized,BalancedAcceptance,151,3,57,8
node_55,realized,BalancedAcceptance,156,3,57,11
node_55,realized,BalancedAcceptance,161,3,57,9
node_55,realized,BalancedAcceptance,166,3,57,8
node_55,realized,BalancedAcceptance,171,3,57,9
node_55,realized,BalancedAcceptance,176,3,57,10
node_55,realized,BalancedAcceptance,181,3,57,6
node_55,realized,BalancedAcceptance,186,3,57,7
node_55,realized,BalancedAcceptance,191,3,57,8
node_55,realized,BalancedAcceptance,196,3,57,10
node_55,realized,BalancedAcceptance,201,3,57,13
node_55,realized,BalancedAcceptance,206,3,57,15
node_55,realized,BalancedAcceptance,211,3,57,6
node_55,realized,BalancedAcceptance,216,3,57,11
node_55,realized,BalancedAcceptance,221,3,57,13
node_55,realized,BalancedAcceptance,226,3,57,9
node_55,realized,BalancedAcceptance,231,3,57,8
node_55,realized,BalancedAcceptance,236,3,57,18
node_55,realized,BalancedAcceptance,241,3,57,13
node_55,realized,BalancedAcceptance,246,3,57,18
node_55,realized,BalancedAcceptance,251,3,57,15
node_55,realized,BalancedAcceptance,256,3,57,9
node_55,realized,BalancedAcceptance,261,3,57,10
node_55,realized,BalancedAcceptance,266,3,57,12
node_55,realized,BalancedAcceptance,271,3,57,12
node_55,realized,BalancedAcceptance,276,3,57,6
node_55,realized,BalancedAcceptance,281,3,57,14
node_55,realized,BalancedAcceptance,286,3,57,12
node_55,realized,BalancedAcceptance,291,3,57,13
node_55,realized,BalancedAcceptance,296,3,57,15
node_55,realized,BalancedAcceptance,301,3,57,17
node_55,realized,BalancedAcceptance,306,3,57,15
node_55,realized,BalancedAcceptance,311,3,57,15
node_55,realized,BalancedAcceptance,316,3,57,7
node_55,realized,BalancedAcceptance,321,3,57,9
node_55,realized,BalancedAcceptance,326,3,57,15
node_55,realized,BalancedAcceptance,331,3,57,14
node_55,realized,BalancedAcceptance,336,3,57,13
node_55,realized,BalancedAcceptance,341,3,57,17
node_55,realized,BalancedAcceptance,346,3,57,16
node_55,realized,BalancedAcceptance,351,3,57,14
node_55,realized,BalancedAcceptance,356,3,57,16
node_55,realized,BalancedAcceptance,361,3,57,17
node_55,realized,BalancedAcceptance,366,3,57,24
node_55,realized,BalancedAcceptance,371,3,57,15
node_55,realized,BalancedAcceptance,376,3,57,18
node_55,realized,BalancedAcceptance,381,3,57,13
node_55,realized,BalancedAcceptance,386,3,57,13
node_55,realized,BalancedAcceptance,391,3,57,21
node_55,realized,BalancedAcceptance,396,3,57,11
node_55,realized,BalancedAcceptance,401,3,57,15
node_55,realized,BalancedAcceptance,406,3,57,19
node_55,realized,BalancedAcceptance,411,3,57,22
node_55,realized,BalancedAcceptance,416,3,57,17
node_55,realized,BalancedAcceptance,421,3,57,18
node_55,realized,BalancedAcceptance,426,3,57,22
node_55,realized,BalancedAcceptance,431,3,57,16
node_55,realized,BalancedAcceptance,436,3,57,29
node_55,realized,BalancedAcceptance,441,3,57,18
node_55,realized,BalancedAcceptance,446,3,57,26
node_55,realized,BalancedAcceptance,451,3,57,21
node_55,realized,BalancedAcceptance,456,3,57,25
node_55,realized,BalancedAcceptance,461,3,57,20
node_55,realized,BalancedAcceptance,466,3,57,21
node_55,realized,BalancedAcceptance,471,3,57,18
node_55,realized,BalancedAcceptance,476,3,57,18
node_55,realized,BalancedAcceptance,481,3,57,22
node_55,realized,BalancedAcceptance,486,3,57,23
node_55,realized,BalancedAcceptance,491,3,57,22
node_55,realized,BalancedAcceptance,496,3,57,21
node_55,realized,BalancedAcceptance,1,4,57,0
node_55,realized,BalancedAcceptance,6,4,57,0
node_55,realized,BalancedAcceptance,11,4,57,0
node_55,realized,BalancedAcceptance,16,4,57,1
node_55,realized,BalancedAcceptance,21,4,57,2
node_55,realized,BalancedAcceptance,26,4,57,2
node_55,realized,BalancedAcceptance,31,4,57,6
node_55,realized,BalancedAcceptance,36,4,57,5
node_55,realized,BalancedAcceptance,41,4,57,7
node_55,realized,BalancedAcceptance,46,4,57,0
node_55,realized,BalancedAcceptance,51,4,57,2
node_55,realized,BalancedAcceptance,56,4,57,4
node_55,realized,BalancedAcceptance,61,4,57,3
node_55,realized,BalancedAcceptance,66,4,57,5
node_55,realized,BalancedAcceptance,71,4,57,5
node_55,realized,BalancedAcceptance,76,4,57,3
node_55,realized,BalancedAcceptance,81,4,57,5
node_55,realized,BalancedAcceptance,86,4,57,5
node_55,realized,BalancedAcceptance,91,4,57,5
node_55,realized,BalancedAcceptance,96,4,57,7
node_55,realized,BalancedAcceptance,101,4,57,4
node_55,realized,BalancedAcceptance,106,4,57,5
node_55,realized,BalancedAcceptance,111,4,57,9
node_55,realized,BalancedAcceptance,116,4,57,7
node_55,realized,BalancedAcceptance,121,4,57,7
node_55,realized,BalancedAcceptance,126,4,57,11
node_55,realized,BalancedAcceptance,131,4,57,10
node_55,realized,BalancedAcceptance,136,4,57,10
node_55,realized,BalancedAcceptance,141,4,57,8
node_55,realized,BalancedAcceptance,146,4,57,10
node_55,realized,BalancedAcceptance,151,4,57,14
node_55,realized,BalancedAcceptance,156,4,57,8
node_55,realized,BalancedAcceptance,161,4,57,8
node_55,realized,BalancedAcceptance,166,4,57,7
node_55,realized,BalancedAcceptance,171,4,57,6
node_55,realized,BalancedAcceptance,176,4,57,8
node_55,realized,BalancedAcceptance,181,4,57,5
node_55,realized,BalancedAcceptance,186,4,57,9
node_55,realized,BalancedAcceptance,191,4,57,12
node_55,realized,BalancedAcceptance,196,4,57,13
node_55,realized,BalancedAcceptance,201,4,57,6
node_55,realized,BalancedAcceptance,206,4,57,15
node_55,realized,BalancedAcceptance,211,4,57,10
node_55,realized,BalancedAcceptance,216,4,57,10
node_55,realized,BalancedAcceptance,221,4,57,15
node_55,realized,BalancedAcceptance,226,4,57,11
node_55,realized,BalancedAcceptance,231,4,57,11
node_55,realized,BalancedAcceptance,236,4,57,14
node_55,realized,BalancedAcceptance,241,4,57,11
node_55,realized,BalancedAcceptance,246,4,57,15
node_55,realized,BalancedAcceptance,251,4,57,9
node_55,realized,BalancedAcceptance,256,4,57,17
node_55,realized,BalancedAcceptance,261,4,57,12
node_55,realized,BalancedAcceptance,266,4,57,14
node_55,realized,BalancedAcceptance,271,4,57,17
node_55,realized,BalancedAcceptance,276,4,57,19
node_55,realized,BalancedAcceptance,281,4,57,12
node_55,realized,BalancedAcceptance,286,4,57,19
node_55,realized,BalancedAcceptance,291,4,57,16
node_55,realized,BalancedAcceptance,296,4,57,15
node_55,realized,BalancedAcceptance,301,4,57,17
node_55,realized,BalancedAcceptance,306,4,57,15
node_55,realized,BalancedAcceptance,311,4,57,18
node_55,realized,BalancedAcceptance,316,4,57,16
node_55,realized,BalancedAcceptance,321,4,57,12
node_55,realized,BalancedAcceptance,326,4,57,13
node_55,realized,BalancedAcceptance,331,4,57,16
node_55,realized,BalancedAcceptance,336,4,57,14
node_55,realized,BalancedAcceptance,341,4,57,16
node_55,realized,BalancedAcceptance,346,4,57,14
node_55,realized,BalancedAcceptance,351,4,57,17
