sim,sp,type,sampler,nbon,low,med,upp,deg
01,node_55,realized,Species richness,1,0.0,0.0,0.017543859649122806,57
01,node_55,realized,Species richness,6,0.0,0.0,0.03596491228070171,57
01,node_55,realized,Species richness,11,0.0,0.017543859649122806,0.05263157894736842,57
01,node_55,realized,Species richness,16,0.0,0.017543859649122806,0.05263157894736842,57
01,node_55,realized,Species richness,21,0.0,0.017543859649122806,0.05263157894736842,57
01,node_55,realized,Species richness,26,0.0,0.03508771929824561,0.08771929824561403,57
01,node_55,realized,Species richness,31,0.017543859649122806,0.03508771929824561,0.07017543859649122,57
01,node_55,realized,Species richness,36,0.0,0.05263157894736842,0.08859649122807013,57
01,node_55,realized,Species richness,41,0.0,0.03508771929824561,0.08771929824561403,57
01,node_55,realized,Species richness,46,0.0,0.05263157894736842,0.10526315789473684,57
01,node_55,realized,Species richness,51,0.0,0.05263157894736842,0.10526315789473684,57
01,node_55,realized,Species richness,56,0.017543859649122806,0.07017543859649122,0.12280701754385964,57
01,node_55,realized,Species richness,61,0.017543859649122806,0.07017543859649122,0.12280701754385964,57
01,node_55,realized,Species richness,66,0.034210526315789476,0.07017543859649122,0.15789473684210525,57
01,node_55,realized,Species richness,71,0.03508771929824561,0.07017543859649122,0.17543859649122806,57
01,node_55,realized,Species richness,76,0.017543859649122806,0.07017543859649122,0.14035087719298245,57
01,node_55,realized,Species richness,81,0.03508771929824561,0.08771929824561403,0.15789473684210525,57
01,node_55,realized,Species richness,86,0.03508771929824561,0.10526315789473684,0.15877192982456134,57
01,node_55,realized,Species richness,91,0.03508771929824561,0.08771929824561403,0.17543859649122806,57
01,node_55,realized,Species richness,96,0.05263157894736842,0.10526315789473684,0.17543859649122806,57
01,node_55,realized,Species richness,101,0.03508771929824561,0.10526315789473684,0.17543859649122806,57
01,node_55,realized,Species richness,106,0.05263157894736842,0.10526315789473684,0.17543859649122806,57
01,node_55,realized,Species richness,111,0.05263157894736842,0.12280701754385964,0.21228070175438588,57
01,node_55,realized,Species richness,116,0.05263157894736842,0.12280701754385964,0.19385964912280695,57
01,node_55,realized,Species richness,121,0.07017543859649122,0.12280701754385964,0.21052631578947367,57
01,node_55,realized,Species richness,126,0.07017543859649122,0.14035087719298245,0.21052631578947367,57
01,node_55,realized,Species richness,131,0.07017543859649122,0.13157894736842105,0.2114035087719298,57
01,node_55,realized,Species richness,136,0.07017543859649122,0.14035087719298245,0.22807017543859648,57
01,node_55,realized,Species richness,141,0.07017543859649122,0.15789473684210525,0.2289473684210526,57
01,node_55,realized,Species richness,146,0.08771929824561403,0.14035087719298245,0.22807017543859648,57
01,node_55,realized,Species richness,151,0.0868421052631579,0.14035087719298245,0.21052631578947367,57
01,node_55,realized,Species richness,156,0.0868421052631579,0.15789473684210525,0.24561403508771928,57
01,node_55,realized,Species richness,161,0.08771929824561403,0.17543859649122806,0.2631578947368421,57
01,node_55,realized,Species richness,166,0.08771929824561403,0.15789473684210525,0.24561403508771928,57
01,node_55,realized,Species richness,171,0.08771929824561403,0.17543859649122806,0.24561403508771928,57
01,node_55,realized,Species richness,176,0.10526315789473684,0.17543859649122806,0.2807017543859649,57
01,node_55,realized,Species richness,181,0.10526315789473684,0.17543859649122806,0.2631578947368421,57
01,node_55,realized,Species richness,186,0.10526315789473684,0.18421052631578946,0.2631578947368421,57
01,node_55,realized,Species richness,191,0.12280701754385964,0.19298245614035087,0.2631578947368421,57
01,node_55,realized,Species richness,196,0.10526315789473684,0.19298245614035087,0.2631578947368421,57
01,node_55,realized,Species richness,201,0.12280701754385964,0.21052631578947367,0.2807017543859649,57
01,node_55,realized,Species richness,206,0.10526315789473684,0.19298245614035087,0.281578947368421,57
01,node_55,realized,Species richness,211,0.14035087719298245,0.20175438596491227,0.2982456140350877,57
01,node_55,realized,Species richness,216,0.14035087719298245,0.21052631578947367,0.2991228070175438,57
01,node_55,realized,Species richness,221,0.12280701754385964,0.21052631578947367,0.3157894736842105,57
01,node_55,realized,Species richness,226,0.1394736842105263,0.21052631578947367,0.2982456140350877,57
01,node_55,realized,Species richness,231,0.12280701754385964,0.21052631578947367,0.3166666666666666,57
01,node_55,realized,Species richness,236,0.1394736842105263,0.22807017543859648,0.3157894736842105,57
01,node_55,realized,Species richness,241,0.15789473684210525,0.21052631578947367,0.3157894736842105,57
01,node_55,realized,Species richness,246,0.15789473684210525,0.22807017543859648,0.3333333333333333,57
01,node_55,realized,Species richness,251,0.1394736842105263,0.22807017543859648,0.3166666666666666,57
01,node_55,realized,Species richness,256,0.1570175438596491,0.24561403508771928,0.3342105263157894,57
01,node_55,realized,Species richness,261,0.1570175438596491,0.22807017543859648,0.3333333333333333,57
