sp,var,sampler,nbon,low,med,upp,deg
node_55,realized,UncertaintySampling,496,31,33.0,38,57
node_55,realized,WeightedBalancedAcceptance,1,0,0.0,1,57
node_55,realized,WeightedBalancedAcceptance,6,0,0.0,5,57
node_55,realized,WeightedBalancedAcceptance,11,1,1.0,3,57
node_55,realized,WeightedBalancedAcceptance,16,2,3.0,4,57
node_55,realized,WeightedBalancedAcceptance,21,2,3.0,4,57
node_55,realized,WeightedBalancedAcceptance,26,2,3.0,5,57
node_55,realized,WeightedBalancedAcceptance,31,2,3.0,6,57
node_55,realized,WeightedBalancedAcceptance,36,0,3.0,7,57
node_55,realized,WeightedBalancedAcceptance,41,1,4.0,8,57
node_55,realized,WeightedBalancedAcceptance,46,3,5.0,7,57
node_55,realized,WeightedBalancedAcceptance,51,3,4.0,6,57
node_55,realized,WeightedBalancedAcceptance,56,1,5.0,8,57
node_55,realized,WeightedBalancedAcceptance,61,4,6.0,7,57
node_55,realized,WeightedBalancedAcceptance,66,4,6.0,15,57
node_55,realized,WeightedBalancedAcceptance,71,6,7.0,12,57
node_55,realized,WeightedBalancedAcceptance,76,3,6.0,11,57
node_55,realized,WeightedBalancedAcceptance,81,5,6.0,11,57
node_55,realized,WeightedBalancedAcceptance,86,4,7.0,9,57
node_55,realized,WeightedBalancedAcceptance,91,5,10.0,10,57
node_55,realized,WeightedBalancedAcceptance,96,6,7.0,11,57
node_55,realized,WeightedBalancedAcceptance,101,4,8.0,10,57
node_55,realized,WeightedBalancedAcceptance,106,4,8.0,10,57
node_55,realized,WeightedBalancedAcceptance,111,9,11.0,13,57
node_55,realized,WeightedBalancedAcceptance,116,8,12.0,16,57
node_55,realized,WeightedBalancedAcceptance,121,6,11.0,14,57
node_55,realized,WeightedBalancedAcceptance,126,6,8.0,10,57
node_55,realized,WeightedBalancedAcceptance,131,8,14.0,15,57
node_55,realized,WeightedBalancedAcceptance,136,6,14.0,17,57
node_55,realized,WeightedBalancedAcceptance,141,10,13.0,14,57
node_55,realized,WeightedBalancedAcceptance,146,10,13.0,19,57
node_55,realized,WeightedBalancedAcceptance,151,10,11.0,11,57
node_55,realized,WeightedBalancedAcceptance,156,9,13.0,15,57
node_55,realized,WeightedBalancedAcceptance,161,4,12.0,18,57
node_55,realized,WeightedBalancedAcceptance,166,11,14.0,17,57
node_55,realized,WeightedBalancedAcceptance,171,10,15.0,18,57
node_55,realized,WeightedBalancedAcceptance,176,12,16.0,19,57
node_55,realized,WeightedBalancedAcceptance,181,10,14.0,15,57
node_55,realized,WeightedBalancedAcceptance,186,10,14.0,20,57
