sim,set,variable,eff,occ
4,ranges,Over-0.04,6.191119111911192,0.8611
4,ranges,Over-0.02,6.173117311731174,0.8611
4,ranges,True-0.0,6.163116311631162,0.8611
4,ranges,Under-0.02,6.16111611161116,0.8611
4,ranges,Under-0.04,6.18911891189119,0.8611
4,ranges,Under-0.06,6.179117911791179,0.8611
4,ranges,Under-0.08,6.165116511651165,0.8611
4,ranges,Under-0.1,6.193119311931191,0.8611
4,ranges,Under-0.12,6.169116911691168,0.8611
4,ranges,Under-0.14,6.167116711671168,0.8611
4,ranges,Under-0.16,6.177117711771176,0.8611
4,ranges,Under-0.18,6.163116311631162,0.8611
4,ranges,Under-0.2,6.137113711371136,0.8611
4,ranges,Under-0.22,6.119111911191119,0.8611
4,ranges,Under-0.24,6.111111111111112,0.8611
4,ranges,Under-0.26,6.147114711471147,0.8611
4,ranges,Under-0.28,6.133113311331134,0.8611
4,ranges,Under-0.3,6.105110511051106,0.8611
5,ranges,Over-0.3,4.520952095209521,0.6814
5,ranges,Over-0.28,4.5169516951695154,0.6814
5,ranges,Over-0.26,4.518951895189519,0.6814
5,ranges,Over-0.24,4.512951295129513,0.6814
5,ranges,Over-0.22,4.5049504950495045,0.6814
5,ranges,Over-0.2,4.5049504950495045,0.6814
5,ranges,Over-0.18,4.502950295029503,0.6814
5,ranges,Over-0.16,4.476947694769477,0.6814
5,ranges,Over-0.14,4.474947494749475,0.6814
5,ranges,Over-0.12,4.436943694369438,0.6814
5,ranges,Over-0.1,4.402940294029403,0.6814
5,ranges,Over-0.08,4.364936493649365,0.6814
5,ranges,Over-0.06,4.326932693269327,0.6814
5,ranges,Over-0.04,4.2809280928092805,0.6814
5,ranges,Over-0.02,4.226922692269227,0.6814
5,ranges,True-0.0,4.144914491449145,0.6814
5,ranges,Under-0.02,4.156915691569157,0.6814
5,ranges,Under-0.04,4.170917091709171,0.6814
5,ranges,Under-0.06,4.150915091509151,0.6814
5,ranges,Under-0.08,4.170917091709171,0.6814
5,ranges,Under-0.1,4.170917091709171,0.6814
5,ranges,Under-0.12,4.172917291729172,0.6814
5,ranges,Under-0.14,4.172917291729172,0.6814
5,ranges,Under-0.16,4.186918691869187,0.6814
5,ranges,Under-0.18,4.192919291929193,0.6814
5,ranges,Under-0.2,4.212921292129213,0.6814
5,ranges,Under-0.22,4.198919891989199,0.6814
5,ranges,Under-0.24,4.2069206920692075,0.6814
5,ranges,Under-0.26,4.208920892089209,0.6814
5,ranges,Under-0.28,4.21892189218922,0.6814
5,ranges,Under-0.3,4.2049204920492045,0.6814
6,ranges,Over-0.3,4.656965696569657,0.6245
6,ranges,Over-0.28,4.646964696469647,0.6245
6,ranges,Over-0.26,4.6269626962696275,0.6245
6,ranges,Over-0.24,4.608960896089609,0.6245
6,ranges,Over-0.22,4.558955895589559,0.6245
6,ranges,Over-0.2,4.544954495449545,0.6245
6,ranges,Over-0.18,4.522952295229523,0.6245
6,ranges,Over-0.16,4.4889488948894885,0.6245
6,ranges,Over-0.14,4.470947094709471,0.6245
6,ranges,Over-0.12,4.438943894389439,0.6245
6,ranges,Over-0.1,4.394939493949394,0.6245
6,ranges,Over-0.08,4.376937693769376,0.6245
6,ranges,Over-0.06,4.336933693369337,0.6245
6,ranges,Over-0.04,4.300930093009301,0.6245
6,ranges,Over-0.02,4.2649264926492645,0.6245
6,ranges,True-0.0,4.252925292529253,0.6245
6,ranges,Under-0.02,4.252925292529253,0.6245
6,ranges,Under-0.04,4.23892389238924,0.6245
6,ranges,Under-0.06,4.262926292629263,0.6245
6,ranges,Under-0.08,4.262926292629263,0.6245
6,ranges,Under-0.1,4.236923692369237,0.6245
6,ranges,Under-0.12,4.244924492449245,0.6245
6,ranges,Under-0.14,4.276927692769277,0.6245
6,ranges,Under-0.16,4.294929492949295,0.6245
6,ranges,Under-0.18,4.304930493049305,0.6245
6,ranges,Under-0.2,4.35093509350935,0.6245
6,ranges,Under-0.22,4.408940894089409,0.6245
6,ranges,Under-0.24,4.456945694569457,0.6245
6,ranges,Under-0.26,4.542954295429543,0.6245
6,ranges,Under-0.28,4.694969496949694,0.6245
6,ranges,Under-0.3,4.828982898289828,0.6245
7,ranges,Over-0.3,3.972897289728973,0.859
7,ranges,Over-0.28,3.9828982898289835,0.859
7,ranges,Over-0.26,3.9828982898289835,0.859
7,ranges,Over-0.24,3.9828982898289835,0.859
7,ranges,Over-0.22,3.9748974897489746,0.859
