sim,set,variable,eff,occ
29,layers,Realized interactions,4.246924692469247,0.8435
29,layers,Focal species range,5.871087108710872,0.8435
29,layers,Probabilistic range,5.949094909490948,0.8435
30,layers,Species richness,6.485148514851484,0.3721
30,layers,Realized interactions,3.8948894889488948,0.3721
30,layers,Focal species range,5.4930493049304925,0.3721
30,layers,Probabilistic range,6.183118311831184,0.3721
31,layers,Species richness,5.56105610561056,0.3765
31,layers,Realized interactions,3.7028702870287034,0.3765
31,layers,Focal species range,4.658965896589659,0.3765
31,layers,Probabilistic range,5.277027702770276,0.3765
32,layers,Species richness,4.848984898489848,0.6721
32,layers,Realized interactions,3.4668466846684662,0.6721
32,layers,Focal species range,4.4609460946094615,0.6721
32,layers,Probabilistic range,4.668966896689669,0.6721
33,layers,Species richness,5.813081308130814,0.2702
33,layers,Realized interactions,3.736873687368737,0.2702
33,layers,Focal species range,4.476947694769477,0.2702
33,layers,Probabilistic range,5.3610361036103615,0.2702
34,layers,Species richness,6.225122512251225,0.7587
34,layers,Realized interactions,4.294929492949295,0.7587
34,layers,Focal species range,5.94109410941094,0.7587
34,layers,Probabilistic range,6.051105110511051,0.7587
35,layers,Species richness,6.717171717171716,0.1579
35,layers,Realized interactions,3.646864686468647,0.1579
35,layers,Focal species range,4.952995299529954,0.1579
35,layers,Probabilistic range,6.025102510251026,0.1579
36,layers,Species richness,5.1930193019301925,0.2899
36,layers,Realized interactions,3.2648264826482656,0.2899
36,layers,Focal species range,3.9108910891089104,0.2899
36,layers,Probabilistic range,4.766976697669767,0.2899
37,layers,Species richness,7.837283728372837,0.1472
37,layers,Realized interactions,3.2488248824882495,0.1472
37,layers,Focal species range,5.805080508050807,0.1472
37,layers,Probabilistic range,7.225222522252226,0.1472
38,layers,Species richness,4.056905690569057,0.4431
38,layers,Realized interactions,2.9207920792079207,0.4431
38,layers,Focal species range,3.2868286828682876,0.4431
38,layers,Probabilistic range,3.854885488548855,0.4431
39,layers,Species richness,5.225022502250225,0.5251
39,layers,Realized interactions,4.058905890589059,0.5251
39,layers,Focal species range,4.656965696569657,0.5251
39,layers,Probabilistic range,5.0150015001500154,0.5251
40,layers,Species richness,5.04100410041004,0.7605
40,layers,Realized interactions,4.032903290329033,0.7605
40,layers,Focal species range,4.7589758975897585,0.7605
40,layers,Probabilistic range,4.88898889888989,0.7605
41,layers,Species richness,4.706970697069707,0.6285
41,layers,Realized interactions,3.732873287328733,0.6285
41,layers,Focal species range,4.300930093009301,0.6285
41,layers,Probabilistic range,4.614961496149617,0.6285
42,layers,Species richness,6.561156115611562,0.6147
42,layers,Realized interactions,3.8208820882088212,0.6147
42,layers,Focal species range,6.0931093109310925,0.6147
42,layers,Probabilistic range,6.381138113811382,0.6147
43,layers,Species richness,6.485148514851484,0.2183
43,layers,Realized interactions,3.9208920892089205,0.2183
43,layers,Focal species range,5.083008300830083,0.2183
43,layers,Probabilistic range,6.0651065106510655,0.2183
44,layers,Species richness,7.6012601260126,0.1512
44,layers,Realized interactions,3.4448444844484443,0.1512
44,layers,Focal species range,5.679067906790678,0.1512
44,layers,Probabilistic range,7.12921292129213,0.1512
45,layers,Species richness,7.003200320032003,0.6697
45,layers,Realized interactions,3.582858285828583,0.6697
45,layers,Focal species range,6.619161916191618,0.6697
45,layers,Probabilistic range,6.833183318331832,0.6697
46,layers,Species richness,5.983098309830983,0.7795
46,layers,Realized interactions,4.444944494449445,0.7795
46,layers,Focal species range,5.751075107510751,0.7795
46,layers,Probabilistic range,5.873087308730874,0.7795
47,layers,Species richness,6.515151515151516,0.5061
47,layers,Realized interactions,4.162916291629163,0.5061
47,layers,Focal species range,5.889088908890889,0.5061
47,layers,Probabilistic range,6.263126312631265,0.5061
48,layers,Species richness,8.095309530953095,0.6077
48,layers,Realized interactions,3.3368336833683365,0.6077
48,layers,Focal species range,7.569256925692569,0.6077
48,layers,Probabilistic range,7.795279527952793,0.6077
49,layers,Species richness,7.55125512551255,0.4456
49,layers,Realized interactions,3.866886688668867,0.4456
49,layers,Focal species range,6.8431843184318435,0.4456
49,layers,Probabilistic range,7.365236523652365,0.4456
50,layers,Species richness,7.851285128512851,0.2437
50,layers,Realized interactions,3.06080608060806,0.2437
50,layers,Focal species range,6.509150915091508,0.2437
50,layers,Probabilistic range,7.3972397239723975,0.2437
51,layers,Species richness,6.503150315031503,0.7946
51,layers,Realized interactions,3.780878087808781,0.7946
51,layers,Focal species range,6.291129112911291,0.7946
51,layers,Probabilistic range,6.401140114011402,0.7946
52,layers,Species richness,6.4091409140914095,0.6608
52,layers,Realized interactions,4.364936493649365,0.6608
52,layers,Focal species range,6.059105910591057,0.6608
52,layers,Probabilistic range,6.255125512551255,0.6608
53,layers,Species richness,6.45914591459146,0.3894
53,layers,Realized interactions,4.138913891389139,0.3894
53,layers,Focal species range,5.611061106110611,0.3894
53,layers,Probabilistic range,6.245124512451246,0.3894
54,layers,Species richness,8.273327332733274,0.2997
54,layers,Realized interactions,2.4287428742874284,0.2997
54,layers,Focal species range,7.069206920692068,0.2997
54,layers,Probabilistic range,7.933293329332933,0.2997
55,layers,Species richness,6.355135513551355,0.9498
55,layers,Realized interactions,4.316931693169317,0.9498
55,layers,Focal species range,6.307130713071308,0.9498
55,layers,Probabilistic range,6.325132513251326,0.9498
56,layers,Species richness,7.63126312631263,0.5365
56,layers,Realized interactions,3.358835883588359,0.5365
56,layers,Focal species range,6.945194519451945,0.5365
56,layers,Probabilistic range,7.38923892389239,0.5365
57,layers,Species richness,6.6651665166516665,0.3572
57,layers,Realized interactions,4.002900290029004,0.3572
57,layers,Focal species range,5.699069906990699,0.3572
57,layers,Probabilistic range,6.43114311431143,0.3572
58,layers,Species richness,7.165216521652164,0.2368
58,layers,Realized interactions,4.252925292529253,0.2368
58,layers,Focal species range,5.843084308430844,0.2368
58,layers,Probabilistic range,6.68916891689169,0.2368
59,layers,Species richness,6.895189518951895,0.2587
59,layers,Realized interactions,4.044904490449044,0.2587
59,layers,Focal species range,5.723072307230723,0.2587
59,layers,Probabilistic range,6.619161916191618,0.2587
60,layers,Species richness,6.467146714671467,0.4398
60,layers,Realized interactions,3.9188918891889193,0.4398
60,layers,Focal species range,5.661066106610662,0.4398
60,layers,Probabilistic range,6.225122512251225,0.4398
61,layers,Species richness,5.221022102210222,0.7676
61,layers,Realized interactions,3.718871887188719,0.7676
61,layers,Focal species range,4.928992899289929,0.7676
61,layers,Probabilistic range,5.077007700770078,0.7676
62,layers,Species richness,6.683168316831683,0.971
62,layers,Realized interactions,3.8768876887688766,0.971
62,layers,Focal species range,6.6611661166116605,0.971
62,layers,Probabilistic range,6.721172117211722,0.971
63,layers,Species richness,6.205120512051205,0.8078
63,layers,Realized interactions,3.8988898889888994,0.8078
63,layers,Focal species range,5.977097709770978,0.8078
63,layers,Probabilistic range,6.115111511151115,0.8078
64,layers,Species richness,6.617161716171617,0.8524
64,layers,Realized interactions,4.384938493849385,0.8524
64,layers,Focal species range,6.463146314631463,0.8524
64,layers,Probabilistic range,6.517151715171517,0.8524
65,layers,Species richness,5.669066906690669,0.465
65,layers,Realized interactions,4.28892889288929,0.465
65,layers,Focal species range,5.025002500250024,0.465
65,layers,Probabilistic range,5.483048304830483,0.465
66,layers,Species richness,8.357335733573358,0.7198
66,layers,Realized interactions,2.9187918791879186,0.7198
66,layers,Focal species range,7.955295529552956,0.7198
66,layers,Probabilistic range,8.183318331833183,0.7198
67,layers,Species richness,5.911091109110911,0.466
67,layers,Realized interactions,4.160916091609161,0.466
67,layers,Focal species range,5.2410241024102415,0.466
67,layers,Probabilistic range,5.625062506250624,0.466
68,layers,Species richness,6.53915391539154,0.1421
68,layers,Realized interactions,3.436843684368437,0.1421
68,layers,Focal species range,4.576957695769577,0.1421
68,layers,Probabilistic range,5.94109410941094,0.1421
69,layers,Species richness,7.533253325332534,0.1026
69,layers,Realized interactions,3.234823482348235,0.1026
69,layers,Focal species range,5.263026302630262,0.1026
69,layers,Probabilistic range,7.041204120412042,0.1026
70,layers,Species richness,7.587258725872587,0.2799
70,layers,Realized interactions,3.2148214821482144,0.2799
70,layers,Focal species range,6.345134513451344,0.2799
70,layers,Probabilistic range,7.285228522852286,0.2799
71,layers,Species richness,7.513251325132513,0.8064
