sim,variable,offset,eff,eff_low,eff_upp,rmse,deg,pmax,occ,set
1,Under-0.04,-0.04,1317.3455831294177,1410.0506007298793,1235.6688339883626,0.01112275592798058,57,1.0,0.4021,ranges
1,Under-0.06,-0.06,1335.9199962147059,1427.0748515577357,1243.105879520086,0.010554052709963997,57,0.9824561403508771,0.4021,ranges
1,Under-0.08,-0.08,1309.4643887403004,1398.8140782955813,1230.7355384922325,0.011403654438871615,57,0.9824561403508771,0.4021,ranges
1,Under-0.10,-0.1,1338.5947775749478,1429.9321433292741,1255.600557038076,0.010190445568490514,57,0.9824561403508771,0.4021,ranges
1,Under-0.12,-0.12,1330.5864570663211,1407.2330362757077,1240.6219041669356,0.011096129426116071,57,0.9824561403508771,0.4021,ranges
1,Under-0.14,-0.14,1360.1867281433695,1455.90658797916,1280.9679330181082,0.010167101282226355,57,0.9824561403508771,0.4021,ranges
1,Under-0.16,-0.16,1354.756306273633,1452.9973940475668,1260.633521780898,0.009111730010117058,57,0.9649122807017544,0.4021,ranges
1,Under-0.18,-0.18,1368.373202019384,1450.0940132700614,1273.3043727377792,0.008796295756865049,57,0.9473684210526315,0.4021,ranges
1,Under-0.20,-0.2,1352.0492309313433,1432.7951559754106,1258.1145226762808,0.008513971862195093,57,0.9473684210526315,0.4021,ranges
1,Under-0.22,-0.22,1343.9604173739258,1429.9321433292741,1263.1575644299423,0.011539519465312424,57,0.9473684210526315,0.4021,ranges
1,Under-0.24,-0.24,1317.3455831294177,1390.4454878463782,1233.1997193466814,0.011198992093183379,57,0.9473684210526315,0.4021,ranges
1,Under-0.26,-0.26,1338.5947775749478,1424.2232692293392,1245.5948282930437,0.010993140753731775,57,0.9473684210526315,0.4021,ranges
1,Under-0.28,-0.28,1330.5864570663211,1421.3773849354675,1248.0887604435989,0.008839487250173948,57,0.9473684210526315,0.4021,ranges
1,Under-0.30,-0.3,1304.236471199921,1373.8582060217966,1230.7355384922325,0.011352492564963814,57,0.9473684210526315,0.4021,ranges
1,Under-0.32,-0.32,1327.927677939754,1404.4211018815158,1248.0887604435989,0.010029615679607841,57,0.9473684210526315,0.4021,ranges
1,Under-0.34,-0.34,1319.983174767192,1412.873806516542,1253.091614808404,0.009770311872563267,57,0.9298245614035088,0.4021,ranges
1,Under-0.36,-0.36,1327.927677939754,1412.873806516542,1243.105879520086,0.00902803923804445,57,0.9298245614035088,0.4021,ranges
1,Under-0.38,-0.38,1306.847815750792,1390.4454878463782,1230.7355384922325,0.011623723202335942,57,0.9298245614035088,0.4021,ranges
1,Under-0.40,-0.4,1354.756306273633,1455.90658797916,1270.7600547267034,0.010418489181049817,57,0.9298245614035088,0.4021,ranges
1,Under-0.42,-0.42,1325.2742115881656,1421.3773849354675,1253.091614808404,0.009246680761722248,57,0.9298245614035088,0.4021,ranges
1,Under-0.44,-0.44,1335.9199962147059,1424.2232692293392,1253.091614808404,0.01008756077006942,57,0.9298245614035088,0.4021,ranges
1,Under-0.46,-0.46,1352.0492309313433,1438.538389731791,1253.091614808404,0.00888361510572019,57,0.9298245614035088,0.4021,ranges
1,Under-0.48,-0.48,1346.6512972795192,1432.7951559754106,1250.5876859494865,0.00924752689506745,57,0.9122807017543859,0.4021,ranges
1,Under-0.50,-0.5,1410.0506007298793,1485.3208229458883,1322.6260473955722,0.008779952256495862,57,0.8947368421052632,0.4021,ranges
2,Over-0.50,0.5,573.2321945765318,603.832028827028,531.2768499319146,0.013833022018868194,61,1.0,0.4005,ranges
2,Over-0.48,0.48,561.8803127464993,596.6286309776275,522.8432258974145,0.015315185102052624,61,1.0,0.4005,ranges
2,Over-0.46,0.46,551.8559545879502,587.1575961254055,519.7152470655122,0.014226497006874523,61,1.0,0.4005,ranges
2,Over-0.44,0.44,544.1830396730323,575.5299455679465,507.3893509956704,0.0139602510954837,61,1.0,0.4005,ranges
2,Over-0.42,0.42,534.4744138861184,564.1325607149223,500.33469246284415,0.017472733247626375,61,1.0,0.4005,ranges
2,Over-0.40,0.4,527.0431690696867,559.6370566733591,492.39225211712017,0.015286782292877834,61,1.0,0.4005,ranges
2,Over-0.38,0.38,520.7558218450073,550.7532354935688,484.5758920924196,0.014995671930609248,61,1.0,0.4005,ranges
2,Over-0.36,0.36,513.5153180881022,545.2726039098155,484.5758920924196,0.017676808962495273,61,1.0,0.4005,ranges
2,Over-0.34,0.34,497.34137391271116,525.9900309069753,467.4397478084616,0.014274503063836753,61,1.0,0.4005,ranges
2,Over-0.32,0.32,495.35578368620907,519.7152470655122,463.7147770803097,0.015907449407763563,61,1.0,0.4005,ranges
2,Over-0.30,0.3,483.6076120830359,509.42317672164006,453.62345445525654,0.01698838316158219,61,1.0,0.4005,ranges
2,Over-0.28,0.28,475.93070167172505,505.36364513403623,451.8124040481835,0.01722651086933909,61,1.0,0.4005,ranges
2,Over-0.26,0.26,472.13806756076787,499.334923203542,442.8650332120312,0.016102135734936553,61,1.0,0.4005,ranges
2,Over-0.24,0.24,461.8634379849687,491.4083534496855,438.458014002808,0.018235294525047598,61,1.0,0.4005,ranges
2,Over-0.22,0.22,454.5317001316327,482.64126689168916,424.6481135150536,0.018144324542333532,61,1.0,0.4005,ranges
2,Over-0.20,0.2,447.31634815240864,476.88361095761525,421.26414413712934,0.018067490814336506,61,1.0,0.4005,ranges
2,Over-0.18,0.18,441.0969348238203,465.5735371060913,412.09662867510116,0.014994629596337612,61,1.0,0.4005,ranges
2,Over-0.16,0.16,428.0592659535591,455.4417642990948,404.74452163725687,0.018772715131869858,61,1.0,0.4005,ranges
2,Over-0.14,0.14,417.9071412012694,441.0969348238203,393.5677622651168,0.018187848616295823,61,1.0,0.4005,ranges
2,Over-0.12,0.12,409.6312060257371,437.5818867813728,388.09566048201725,0.02088498368137927,61,1.0,0.4005,ranges
2,Over-0.10,0.1,406.3669045645607,427.20391752038597,376.6245703159274,0.018419449166445584,61,1.0,0.4005,ranges
2,Over-0.08,0.08,395.14534413244604,423.799581249934,372.8767203129377,0.019299629015482565,61,1.0,0.4005,ranges
2,Over-0.06,0.06,387.3201673633838,415.4069563913106,366.2243252946257,0.01976950456638595,61,1.0,0.4005,ranges
2,Over-0.04,0.04,375.87199874059564,400.7168456007311,354.68953444351985,0.017746710350472487,61,1.0,0.4005,ranges
2,Over-0.02,0.02,370.64593595870525,397.5235815979627,349.7579891799943,0.017993018778575974,61,1.0,0.4005,ranges
2,True-0.00,0.0,364.76220796605617,385.77382680298797,340.78059560975333,0.018253252034101594,61,1.0,0.4005,ranges
2,Under-0.02,-0.02,364.03333977447653,385.77382680298797,342.14658474788195,0.02076084352501365,61,1.0,0.4005,ranges
2,Under-0.04,-0.04,364.76220796605617,391.21319101257455,340.78059560975333,0.0168961977136833,61,1.0,0.4005,ranges
2,Under-0.06,-0.06,361.1324021860739,385.0029731746248,342.14658474788195,0.019161451562411565,61,1.0,0.4005,ranges
2,Under-0.08,-0.08,371.3880439019666,392.78133478748504,346.9708101312699,0.020846585436332492,61,1.0,0.4005,ranges
2,Under-0.10,-0.1,361.1324021860739,384.2336598667156,337.38943460503293,0.02061950591120741,61,1.0,0.4005,ranges
2,Under-0.12,-0.12,358.2545818179148,383.4658838013922,339.42006005908854,0.02094041498767281,61,1.0,0.4005,ranges
2,Under-0.14,-0.14,363.3059280080125,390.4314684414629,340.78059560975333,0.023301643245548856,61,1.0,0.4005,ranges
2,Under-0.16,-0.16,371.3880439019666,391.21319101257455,347.66551569606236,0.022111893890264273,61,1.0,0.4005,ranges
2,Under-0.18,-0.18,372.1316376950533,393.5677622651168,348.361612201555,0.02160170541551178,61,1.0,0.4005,ranges
2,Under-0.20,-0.2,364.76220796605617,385.0029731746248,344.2058417747672,0.021369180702588697,61,1.0,0.4005,ranges
2,Under-0.22,-0.22,361.8554621153239,385.77382680298797,339.42006005908854,0.019952853425001176,61,1.0,0.4005,ranges
2,Under-0.24,-0.24,354.68953444351985,372.8767203129377,334.03201957384556,0.02395685709069313,61,1.0,0.4005,ranges
2,Under-0.26,-0.26,351.1599634131184,370.64593595870525,329.3876930177214,0.022841557911594496,61,1.0,0.4005,ranges
2,Under-0.28,-0.28,346.9708101312699,369.16616575148817,328.0726425950289,0.024720253423812736,61,1.0,0.4005,ranges
2,Under-0.30,-0.3,346.9708101312699,365.4925354988075,325.4582714464405,0.023441667198744055,61,1.0,0.4005,ranges
2,Under-0.32,-0.32,344.895011315065,368.42849756726486,326.7628423916097,0.02515976803286942,61,1.0,0.4005,ranges
2,Under-0.34,-0.34,344.2058417747672,361.8554621153239,321.57572580347215,0.023589721323124247,61,0.9836065573770492,0.4005,ranges
2,Under-0.36,-0.36,351.1599634131184,374.3713639527763,330.7080147047302,0.022012745402112618,61,0.9836065573770492,0.4005,ranges
2,Under-0.38,-0.38,346.27749272779965,367.69230339231035,326.7628423916097,0.020545072721542053,61,0.9836065573770492,0.4005,ranges
2,Under-0.40,-0.4,352.5675573370319,374.3713639527763,330.04719363457986,0.020955376182663618,61,0.9836065573770492,0.4005,ranges
2,Under-0.42,-0.42,347.66551569606236,369.16616575148817,324.8079404182718,0.02272791355611164,61,0.9836065573770492,0.4005,ranges
2,Under-0.44,-0.44,351.1599634131184,371.3880439019666,332.03362878545704,0.023765010994496287,61,0.9836065573770492,0.4005,ranges
2,Under-0.46,-0.46,353.98079347777275,373.62329473654626,332.69842709955185,0.02367109179754518,61,0.9836065573770492,0.4005,ranges
2,Under-0.48,-0.48,356.1112763434389,378.13423688389406,337.38943460503293,0.02425144026993382,61,0.9836065573770492,0.4005,ranges
2,Under-0.50,-0.5,351.863056507961,379.6499548179324,335.3709576366441,0.020674800653938466,61,0.9836065573770492,0.4005,ranges
3,Over-0.50,0.5,1485.3208229458883,1586.6698596675947,1387.6670983474569,0.01782361049516723,55,1.0,0.3808,ranges
3,Over-0.48,0.48,1464.6691652060927,1549.0393920262497,1387.6670983474569,0.01725423508475495,55,1.0,0.3808,ranges
3,Over-0.46,0.46,1447.1964340307954,1545.9441000368558,1362.910096396854,0.015986644051738254,55,1.0,0.3808,ranges
3,Over-0.44,0.44,1429.9321433292741,1524.449546169699,1346.6512972795192,0.017188709769503097,55,1.0,0.3808,ranges
3,Over-0.42,0.42,1412.873806516542,1485.3208229458883,1333.2505596051237,0.01634299547775174,55,1.0,0.3808,ranges
3,Over-0.40,0.4,1398.8140782955813,1497.2522447181743,1317.3455831294177,0.01706641177432617,55,1.0,0.3808,ranges
