nbon,nrep,refmethod,prop_monitored_sp,prop_possible_int,prop_realized_int,prop_detected_int
1,1,global,0.56,0.33416666666666667,0.0025,0.0008333333333333334
1,2,global,0.48,0.27579908675799086,0.006392694063926941,0.0018264840182648401
1,3,global,0.6133333333333333,0.32642487046632124,0.0034542314335060447,0.0
1,4,global,0.37333333333333335,0.1341948310139165,0.007952286282306162,0.002982107355864811
1,5,global,0.49333333333333335,0.20824295010845986,0.0021691973969631237,0.0010845986984815619
1,6,global,0.49333333333333335,0.26704014939309056,0.003734827264239029,0.0018674136321195146
1,7,global,0.49333333333333335,0.2603734439834025,0.005186721991701245,0.001037344398340249
1,8,global,0.5733333333333334,0.31837425910245554,0.003386960203217612,0.0
1,9,global,0.52,0.24937862468931235,0.004142502071251036,0.0024855012427506215
1,10,global,0.5466666666666666,0.32684426229508196,0.0020491803278688526,0.0010245901639344263
1,11,global,0.52,0.2757281553398058,0.003883495145631068,0.001941747572815534
1,12,global,0.49333333333333335,0.25657298277425206,0.001813236627379873,0.0009066183136899365
1,13,global,0.52,0.22160148975791433,0.0037243947858473,0.00186219739292365
1,14,global,0.5733333333333334,0.3464114832535885,0.0028708133971291866,0.0009569377990430622
1,15,global,0.44,0.19604743083003953,0.0015810276679841897,0.0007905138339920949
1,16,global,0.5066666666666667,0.2484375,0.0046875,0.00078125
1,17,global,0.48,0.24397590361445784,0.001004016064257028,0.001004016064257028
1,18,global,0.5733333333333334,0.3041709053916582,0.008138351983723296,0.003051881993896236
1,19,global,0.52,0.3277027027027027,0.0016891891891891893,0.0
1,20,global,0.49333333333333335,0.25806451612903225,0.0025466893039049238,0.001697792869269949
2,1,global,0.72,0.484182776801406,0.006151142355008787,0.0008787346221441124
2,2,global,0.84,0.5449871465295629,0.010282776349614395,0.006855184233076264
2,3,global,0.5466666666666666,0.25565217391304346,0.01217391304347826,0.0052173913043478265
2,4,global,0.7733333333333333,0.46324655436447165,0.009954058192955589,0.004594180704441042
2,5,global,0.6933333333333334,0.44601412714429867,0.008072653884964682,0.0030272452068617556
2,6,global,0.76,0.48829141370338247,0.005203816131830009,0.0026019080659150044
2,7,global,0.76,0.3829022988505747,0.010057471264367816,0.00646551724137931
2,8,global,0.72,0.37685774946921446,0.01167728237791932,0.005307855626326964
2,9,global,0.8,0.5426356589147286,0.009689922480620155,0.005813953488372093
2,10,global,0.76,0.47349505840071876,0.004492362982929021,0.0026954177897574125
2,11,global,0.6266666666666667,0.26136363636363635,0.006993006993006993,0.0
2,12,global,0.8133333333333334,0.4685714285714286,0.005714285714285714,0.002857142857142857
2,13,global,0.7066666666666667,0.4420955882352941,0.011948529411764705,0.003676470588235294
2,14,global,0.6666666666666666,0.35376044568245124,0.01021355617455896,0.002785515320334262
2,15,global,0.76,0.4618208516886931,0.00881057268722467,0.0022026431718061676
2,16,global,0.76,0.5058252427184466,0.007766990291262136,0.001941747572815534
2,17,global,0.7866666666666666,0.4943625325238508,0.012142237640936688,0.0026019080659150044
2,18,global,0.84,0.5709487825356843,0.006717044500419815,0.0025188916876574307
2,19,global,0.68,0.3974358974358974,0.011655011655011656,0.005827505827505828
2,20,global,0.72,0.35803497085761865,0.006661115736885929,0.0033305578684429643
3,1,global,0.8266666666666667,0.4919517102615694,0.011066398390342052,0.007042253521126761
3,2,global,0.8533333333333334,0.512291052114061,0.011799410029498525,0.003933136676499509
3,3,global,0.7733333333333333,0.5325803649000869,0.008688097306689836,0.0017376194613379669
3,4,global,0.8,0.5424013434089001,0.009235936188077247,0.0016792611251049538
3,5,global,0.8266666666666667,0.6290463692038495,0.01399825021872266,0.004374453193350831
3,6,global,0.8133333333333334,0.5230496453900709,0.01152482269503546,0.004432624113475178
3,7,global,0.84,0.5322101090188305,0.011892963330029732,0.003964321110009911
3,8,global,0.72,0.4521178637200737,0.014732965009208104,0.007366482504604052
3,9,global,0.7866666666666666,0.4913657770800628,0.01098901098901099,0.0031397174254317113
3,10,global,0.8133333333333334,0.4853747714808044,0.010968921389396709,0.003656307129798903
3,11,global,0.8266666666666667,0.5152439024390244,0.007113821138211382,0.003048780487804878
3,12,global,0.7866666666666666,0.4956063268892794,0.014059753954305799,0.005272407732864675
3,13,global,0.6666666666666666,0.3100983020554066,0.010723860589812333,0.008936550491510277
3,14,global,0.7466666666666667,0.4482758620689655,0.00672834314550042,0.00336417157275021
3,15,global,0.7866666666666666,0.48672566371681414,0.01671583087512291,0.0058997050147492625
3,16,global,0.76,0.44100895036615134,0.009764035801464606,0.0040683482506102524
3,17,global,0.8933333333333333,0.5498154981549815,0.012915129151291513,0.00922509225092251
3,18,global,0.8,0.4862096138691883,0.0070921985815602835,0.003940110323089046
3,19,global,0.8266666666666667,0.5247724974721941,0.010111223458038422,0.003033367037411527
3,20,global,0.8133333333333334,0.5879541108986616,0.01338432122370937,0.0028680688336520078
4,1,global,0.8933333333333333,0.6340956340956341,0.01975051975051975,0.007276507276507277
4,2,global,0.84,0.564051638530288,0.021847070506454815,0.005958291956305859
4,3,global,0.84,0.5522388059701493,0.014139827179890024,0.006284367635506678
4,4,global,0.7866666666666666,0.5023126734505088,0.01942645698427382,0.005550416281221091
4,5,global,0.8666666666666667,0.5764818355640535,0.021032504780114723,0.0076481835564053535
4,6,global,0.8133333333333334,0.4822429906542056,0.016822429906542057,0.005607476635514018
4,7,global,0.8533333333333334,0.5722070844686649,0.013623978201634877,0.006357856494096276
4,8,global,0.84,0.5685785536159601,0.014962593516209476,0.00831255195344971
4,9,global,0.88,0.6104944500504541,0.015136226034308779,0.010090817356205853
4,10,global,0.9733333333333334,0.6941287878787878,0.015151515151515152,0.00946969696969697
4,11,global,0.8933333333333333,0.5980819529206626,0.018308631211857017,0.006974716652136007
4,12,global,0.8933333333333333,0.6250939143501127,0.012772351615326822,0.008264462809917356
4,13,global,0.88,0.5799614643545279,0.015414258188824663,0.005780346820809248
4,14,global,0.9066666666666666,0.68762278978389,0.015717092337917484,0.009823182711198428
4,15,global,0.8666666666666667,0.5846846846846847,0.011711711711711712,0.005405405405405406
4,16,global,0.7866666666666666,0.5,0.0186219739292365,0.00931098696461825
4,17,global,0.8533333333333334,0.5882852292020373,0.016129032258064516,0.011035653650254669
4,18,global,0.8666666666666667,0.5380859375,0.0126953125,0.00390625
4,19,global,0.76,0.4995073891625616,0.022660098522167486,0.012807881773399015
4,20,global,0.9066666666666666,0.6612318840579711,0.022644927536231884,0.009057971014492754
5,1,global,0.9333333333333333,0.7823255813953488,0.017674418604651163,0.012093023255813953
5,2,global,0.8666666666666667,0.6296603148301574,0.019055509527754765,0.008285004142502071
5,3,global,0.88,0.6471716203259827,0.01725790987535954,0.010546500479386385
