sim,set,variable,deg,rank,occ,eff
28,species,node_15,24,3,0.6765,4.916991699169917
28,species,node_4,9,4,0.3098,7.1452145214521465
29,species,node_57,52,1,0.0277,5.993099309930993
29,species,node_18,36,2,0.5824,6.041104110411041
29,species,node_16,24,3,0.3013,6.063106310631063
29,species,node_66,5,4,0.2284,6.999199919991999
30,species,node_28,51,1,0.4464,6.471147114711471
30,species,node_50,29,2,0.2012,6.119111911191119
30,species,node_52,18,3,0.8485,5.271027102710271
30,species,node_4,7,4,0.3222,7.721272127212721
31,species,node_51,59,1,0.6416,5.597059705970597
31,species,node_20,25,2,0.132,8.113311331133113
31,species,node_35,21,3,0.436,6.0971097109710986
31,species,node_6,13,4,0.3055,7.651265126512652
32,species,node_66,54,1,0.475,4.848984898489848
32,species,node_30,21,2,0.1693,7.383238323832384
32,species,node_68,13,3,0.3913,7.405240524052405
32,species,node_58,7,4,0.4226,4.956995699569957
33,species,node_71,69,1,0.6764,5.751075107510751
33,species,node_11,27,2,0.7281,7.337233723372336
33,species,node_38,21,3,0.1956,5.871087108710872
33,species,node_56,10,4,0.221,4.86098609860986
34,species,node_61,64,1,0.5889,6.177117711771176
34,species,node_50,32,2,0.3489,6.147114711471147
34,species,node_23,23,3,0.5916,6.111111111111112
34,species,node_64,10,4,0.8394,5.217021702170217
35,species,node_67,49,1,0.4174,6.717171717171716
35,species,node_39,32,2,0.8359,6.559155915591559
35,species,node_20,20,3,0.9559,6.303130313031302
35,species,node_3,7,4,0.7876,5.107010701070108
36,species,node_55,56,1,0.1772,5.185018501850185
36,species,node_52,31,2,0.6256,4.1909190919091905
36,species,node_17,17,3,0.7726,7.057205720572057
36,species,node_64,9,4,0.1083,5.855085508550855
37,species,node_64,38,1,0.7905,7.76927692769277
37,species,node_32,23,2,0.9481,7.323232323232323
37,species,node_38,20,3,0.4468,6.247124712471248
37,species,node_60,7,4,0.372,6.687168716871687
38,species,node_62,62,1,0.2399,4.094909490949094
38,species,node_39,29,2,0.7039,7.553255325532554
38,species,node_10,20,3,0.6487,6.811181118111811
38,species,node_65,10,4,0.4905,5.467046704670466
39,species,node_56,62,1,0.3093,5.2110211021102115
39,species,node_26,31,2,0.1685,6.787178717871787
39,species,node_53,19,3,0.2029,6.07910791079108
39,species,node_65,7,4,0.3431,7.2792279227922805
40,species,node_63,65,1,0.7877,4.986998699869987
40,species,node_35,28,2,0.3673,6.7971797179717965
40,species,node_38,24,3,0.8505,4.256925692569257
40,species,node_48,13,4,0.4562,7.5772577257725775
41,species,node_69,60,1,0.6349,4.724972497249725
41,species,node_70,29,2,0.598,6.0971097109710986
41,species,node_53,19,3,0.6383,4.766976697669767
41,species,node_66,5,4,0.9117,7.823282328232823
42,species,node_40,56,1,0.5898,6.549154915491549
42,species,node_70,28,2,0.2096,7.8012801280128015
42,species,node_45,27,3,0.4273,5.2230223022302225
42,species,node_3,7,4,0.1754,6.8291829182918296
43,species,node_54,51,1,0.4057,6.461146114611459
43,species,node_62,33,2,0.5892,6.3951395139513965
43,species,node_23,14,3,0.6744,7.76927692769277
43,species,node_22,11,4,0.2209,7.641264126412642
44,species,node_48,40,1,0.6943,7.54925492549255
44,species,node_53,44,2,0.7063,4.230923092309231
44,species,node_32,28,3,0.6581,4.914991499149916
44,species,node_65,9,4,0.4827,7.269226922692269
45,species,node_49,47,1,0.7798,7.019201920192019
45,species,node_38,34,2,0.4492,5.217021702170217
45,species,node_54,22,3,0.4488,5.8990899089909
45,species,node_6,13,4,0.7581,4.926992699269927
46,species,node_69,68,1,0.2587,5.96909690969097
46,species,node_49,36,2,0.8624,7.131213121312132
46,species,node_14,26,3,0.1928,6.6611661166116605
46,species,node_3,16,4,0.6361,8.053305330533053
47,species,node_60,67,1,0.585,6.533153315331532
47,species,node_32,13,2,0.4054,9.023402340234023
47,species,node_14,23,3,0.682,7.055205520552055
47,species,node_57,7,4,0.7302,8.015301530153016
48,species,node_48,44,1,0.2323,8.065306530653064
48,species,node_44,32,2,0.7188,3.852885288528853
48,species,node_69,19,3,0.3148,5.471047104710472
48,species,node_56,11,4,0.5567,6.699169916991698
49,species,node_72,40,1,0.3497,7.541254125412543
49,species,node_64,34,2,0.6075,6.415141514151415
49,species,node_12,18,3,0.1314,7.531253125312531
49,species,node_51,13,4,0.9902,5.407040704070408
50,species,node_58,27,1,0.8646,7.893289328932893
50,species,node_72,30,2,0.6197,6.325132513251326
50,species,node_56,19,3,0.4315,6.721172117211722
50,species,node_73,6,4,0.2002,6.447144714471447
51,species,node_70,52,1,0.5282,6.495149514951494
51,species,node_49,35,2,0.3971,6.017101710171017
51,species,node_15,24,3,0.2852,6.141114111411142
51,species,node_68,7,4,0.7946,6.619161916191618
52,species,node_74,61,1,0.4858,6.43114311431143
52,species,node_42,34,2,0.5197,6.5871587158715865
52,species,node_47,30,3,0.5772,5.467046704670466
52,species,node_2,12,4,0.5966,6.6791679167916795
53,species,node_45,59,1,0.5294,6.447144714471447
53,species,node_27,32,2,0.528,6.035103510351034
53,species,node_14,12,3,0.2899,7.713271327132714
53,species,node_64,12,4,0.5614,6.355135513551355
54,species,node_71,15,1,0.705,8.217321732173218
54,species,node_40,17,2,0.1206,6.8271827182718265
54,species,node_57,12,3,0.7008,7.499249924992499
54,species,node_2,10,4,0.8096,5.095009500950094
55,species,node_57,60,1,0.7466,6.353135313531354
55,species,node_30,34,2,0.6841,3.824882488248825
55,species,node_25,23,3,0.8131,5.267026702670268
55,species,node_4,9,4,0.443,5.297029702970297
56,species,node_48,37,1,0.8783,7.555255525552555
56,species,node_11,34,2,0.7358,6.32113211321132
56,species,node_40,24,3,0.1869,5.699069906990699
56,species,node_1,12,4,0.3062,7.16921692169217
57,species,node_53,61,1,0.9479,6.683168316831683
57,species,node_51,32,2,0.5929,6.353135313531354
57,species,node_18,18,3,0.4782,7.255225522552256
57,species,node_68,7,4,0.3375,4.386938693869387
58,species,node_63,43,1,0.4099,7.121212121212122
58,species,node_44,25,2,0.7276,7.913291329132915
58,species,node_54,21,3,0.4282,6.063106310631063
58,species,node_65,9,4,0.7216,6.273127312731272
59,species,node_56,50,1,0.6329,6.901190119011902
59,species,node_66,37,2,0.3428,5.3610361036103615
59,species,node_45,27,3,0.3773,6.9651965196519665
59,species,node_5,13,4,0.1101,6.343134313431342
60,species,node_55,55,1,0.1578,6.447144714471447
60,species,node_53,28,2,0.6567,7.0992099209921005
60,species,node_66,23,3,0.6199,6.043104310431042
60,species,node_5,9,4,0.3952,5.097009700970096
61,species,node_54,59,1,0.6366,5.19101910191019
61,species,node_68,30,2,0.1399,6.037103710371037
61,species,node_38,25,3,0.5288,4.242924292429242
61,species,node_3,12,4,0.4917,6.94919491949195
62,species,node_43,54,1,0.3964,6.6651665166516665
62,species,node_42,33,2,0.372,5.353035303530353
62,species,node_8,12,3,0.6886,6.793179317931792
62,species,node_60,14,4,0.6804,7.453245324532453
63,species,node_59,55,1,0.7767,6.179117911791179
63,species,node_46,32,2,0.7158,4.482948294829483
63,species,node_61,21,3,0.9,5.035003500350035
63,species,node_3,9,4,0.5743,6.375137513751374
64,species,node_72,64,1,0.5038,6.579157915791578
64,species,node_34,34,2,0.4723,6.129112911291128
64,species,node_7,22,3,0.7322,5.835083508350836
64,species,node_62,6,4,0.8771,8.891389138913892
65,species,node_74,58,1,0.3488,5.707070707070708
65,species,node_70,24,2,0.5784,7.117211721172117
65,species,node_32,18,3,0.5889,7.079207920792079
65,species,node_67,13,4,0.8535,5.6450645064506455
66,species,node_68,36,1,0.3854,8.359335933593359
66,species,node_28,35,2,0.3737,4.980998099809981
66,species,node_41,19,3,0.2206,6.711171117111711
66,species,node_4,10,4,0.3151,5.71107110711071
67,species,node_62,64,1,0.7035,5.9250925092509235
67,species,node_39,33,2,0.5607,6.585158515851586
67,species,node_41,15,3,0.3224,7.6012601260126
67,species,node_68,9,4,0.8044,2.8867886788678865
68,species,node_68,44,1,0.5824,6.529152915291529
68,species,node_37,26,2,0.188,6.8291829182918296
68,species,node_22,23,3,0.6901,6.329132913291329
68,species,node_62,11,4,0.288,5.723072307230723
69,species,node_71,37,1,0.3133,7.603260326032604
69,species,node_37,36,2,0.4344,5.825082508250825
69,species,node_46,19,3,0.4234,6.387138713871387
69,species,node_3,8,4,0.3232,4.210921092109211
70,species,node_53,37,1,0.5307,7.63126312631263
70,species,node_14,19,2,0.5904,7.743274327432744
70,species,node_10,12,3,0.4618,8.081308130813081
70,species,node_46,11,4,0.5106,8.305330533053306
71,species,node_49,37,1,0.9242,7.457245724572457
71,species,node_23,28,2,0.1378,6.559155915591559
